strain,genospecies,num_substrates
SM41,CC,18
SM53,CC,18
SM57,CC,13
SM67,CC,26
SM74,CC,26
SM77,CC,20
SM137B,OA,24
SM144A,OA,13
SM145B,OA,10
SM152A,OA,13
SM152B,OA,20
SM154C,OA,9
SM126B,OC,21
SM147A,OC,18
SM157B,OC,29
SM158,OC,17
SM165A,OC,22
SM170C,OC,25
SM122A,OC,16
SM135A,OE,28
SM135B,OE,27
SM149A,OE,25
SM168A,OE,21
