"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"119","137B","74","OA","CC",2,0,0,0,0,0
"120","137B","77","OA","CC",2,0,0,0,0,0
"121","144A","122A","OA","OC",3,11.2816666666667,11.144,2.94791185983118,1.70197770582082,7.32301902192269
"122","144A","126B","OA","OC",3,9.16666666666667,10.544,8.56149924565396,4.94298389414509,21.267943145251
"123","144A","135A","OA","OE",3,10.1986666666667,13.45,9.02356389312633,5.20975704274628,22.4157753613038
"124","144A","135B","OA","OE",3,10.4996666666667,14.029,9.25431630826034,5.34298201174005,22.9889961378156
"125","144A","137B","OA","OA",3,12.1903333333333,13.126,2.63327445081847,1.52032171303021,6.54141636866681
"126","144A","144A","OA","OA",3,0,0,0,0,0
"127","144A","145B","OA","OA",3,0,0,0,0,0
"128","144A","147A","OA","OC",3,13.177,12.954,2.26474921348921,1.30755356805499,5.62594892888545
"129","144A","149A","OA","OE",3,10.528,14.964,9.15503533581384,5.28566211557265,22.742368530102
"130","144A","152A","OA","OA",3,11.7996666666667,12.575,3.61883853374717,2.08933740161272,8.9896932744166
"131","144A","152B","OA","OA",3,13.125,12.369,2.67147000731807,1.5423739278571,6.63629939098874
"132","144A","154C","OA","OA",3,0,0,0,0,0
"133","144A","157B","OA","OC",3,12.213,12.16,2.22097433573646,1.28228013060069,5.51720610423257
"134","144A","158","OA","OC",3,11.52,11.526,2.72300495776266,1.57212764536895,6.76431930486133
"135","144A","159","OA","OE",3,10.7573333333333,14.962,9.38980518079759,5.42120654877163,23.3255691556079
"136","144A","165A","OA","OC",3,12.5506666666667,11.702,2.36699732431901,1.3665865423667,5.87994731695297
"137","144A","168A","OA","OE",3,10.6216666666667,14.747,9.27471090295182,5.35475683647519,23.0396591196046
"138","144A","170C","OA","OC",3,12.8453333333333,11.455,4.45432400408113,2.57170516281405,11.0651542388927
"139","144A","41","OA","CC",3,7.56533333333333,9.542,6.79612664194343,3.92374554617283,16.8825144850828
"140","144A","53","OA","CC",3,7.547,8.736,7.02833885068158,4.05781332739691,17.4593615899381
"141","144A","57","OA","CC",3,9.49066666666667,12.59,8.38235535713759,4.83955512188649,20.8229250559579
"142","144A","67","OA","CC",3,7.10733333333333,6.564,7.39398737714187,4.26892060257756,18.367682883764
"143","144A","74","OA","CC",3,8.98033333333333,11.484,8.026890576888,4.63432743532196,19.9399015901408
"144","144A","77","OA","CC",3,10.1513333333333,13.747,8.91501970459591,5.14708902627927,22.146136649184
"145","145B","122A","OA","OC",3,11.043,10.526,0.926821989380916,0.535100925059937,2.3023534559006
