"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"439","41","145B","CC","OA",3,0,0,0,0,0
"440","41","147A","CC","OC",3,0,0,0,0,0
"441","41","149A","CC","OE",3,0,0,0,0,0
"442","41","152A","CC","OA",3,0,0,0,0,0
"443","41","152B","CC","OA",3,0,0,0,0,0
"444","41","154C","CC","OA",3,0,0,0,0,0
"445","41","157B","CC","OC",3,0,0,0,0,0
"446","41","158","CC","OC",3,0,0,0,0,0
"447","41","159","CC","OE",3,0,0,0,0,0
"448","41","165A","CC","OC",3,0,0,0,0,0
"449","41","168A","CC","OE",3,0,0,0,0,0
"450","41","170C","CC","OC",3,0,0,0,0,0
"451","41","41","CC","CC",3,0,0,0,0,0
"452","41","53","CC","CC",3,0,0,0,0,0
"453","41","57","CC","CC",3,0,0,0,0,0
"454","41","67","CC","CC",3,0,0,0,0,0
"455","41","74","CC","CC",3,0,0,0,0,0
"456","41","77","CC","CC",3,0,0,0,0,0
"457","53","122A","CC","OC",3,0,0,0,0,0
"458","53","126B","CC","OC",3,0,0,0,0,0
"459","53","135A","CC","OE",3,1.495,1.756,1.38309471837615,0.79853010796922,3.4357977488409
"460","53","135B","CC","OE",3,0.768,0,1.3302150202129,0.768,3.30443729644759
"461","53","137B","CC","OA",3,0,0,0,0,0
"462","53","144A","CC","OA",3,0,0,0,0,0
"463","53","145B","CC","OA",3,0,0,0,0,0
"464","53","147A","CC","OC",3,0,0,0,0,0
"465","53","149A","CC","OE",3,0.915666666666667,0,1.5859811894639,0.915666666666667,3.93979568287392
"466","53","152A","CC","OA",3,0,0,0,0,0
"467","53","152B","CC","OA",3,0,0,0,0,0
"468","53","154C","CC","OA",3,0,0,0,0,0
"469","53","157B","CC","OC",3,0,0,0,0,0
"470","53","158","CC","OC",3,0,0,0,0,0
"471","53","159","CC","OE",3,1.11266666666667,1.651,0.963765704584539,0.556430388977613,2.39412673205008
"472","53","165A","CC","OC",3,0,0,0,0,0
"473","53","168A","CC","OE",3,4.32533333333333,4.785,1.05267294699414,0.607761009315705,2.61498456576751
"474","53","170C","CC","OC",3,0,0,0,0,0
"475","53","41","CC","CC",3,0,0,0,0,0
"476","53","53","CC","CC",3,0,0,0,0,0
"477","53","57","CC","CC",3,0,0,0,0,0
"478","53","67","CC","CC",3,0,0,0,0,0
"479","53","74","CC","CC",3,0,0,0,0,0
"480","53","77","CC","CC",3,0,0,0,0,0
"481","57","122A","CC","OC",3,0,0,0,0,0
"482","57","126B","CC","OC",3,0,0,0,0,0
"483","57","135A","CC","OE",3,0,0,0,0,0
"484","57","135B","CC","OE",3,0,0,0,0,0
"485","57","137B","CC","OA",3,0,0,0,0,0
"486","57","144A","CC","OA",3,0,0,0,0,0
"487","57","145B","CC","OA",3,0,0,0,0,0
"488","57","147A","CC","OC",3,0,0,0,0,0
"489","57","149A","CC","OE",3,0,0,0,0,0
"490","57","152A","CC","OA",3,0,0,0,0,0
"491","57","152B","CC","OA",3,0,0,0,0,0
"492","57","154C","CC","OA",3,0,0,0,0,0
"493","57","157B","CC","OC",3,0,0,0,0,0
"494","57","158","CC","OC",3,0,0,0,0,0
"495","57","159","CC","OE",3,0,0,0,0,0
"496","57","165A","CC","OC",3,0,0,0,0,0
"497","57","168A","CC","OE",3,0,0,0,0,0
"498","57","170C","CC","OC",3,0,0,0,0,0
"499","57","41","CC","CC",3,0,0,0,0,0
"500","57","53","CC","CC",3,0,0,0,0,0
"501","57","57","CC","CC",3,0,0,0,0,0
"502","57","67","CC","CC",3,0,0,0,0,0
"503","57","74","CC","CC",3,0,0,0,0,0
"504","57","77","CC","CC",3,0,0,0,0,0
"505","67","122A","CC","OC",3,0,0,0,0,0
"506","67","126B","CC","OC",3,0,0,0,0,0
"507","67","135A","CC","OE",3,0,0,0,0,0
"508","67","135B","CC","OE",3,0,0,0,0,0
"509","67","137B","CC","OA",3,0,0,0,0,0
"510","67","144A","CC","OA",3,0,0,0,0,0
"511","67","145B","CC","OA",3,0,0,0,0,0
"512","67","147A","CC","OC",3,0,0,0,0,0
"513","67","149A","CC","OE",3,0,0,0,0,0
"514","67","152A","CC","OA",3,0,0,0,0,0
"515","67","152B","CC","OA",3,0,0,0,0,0
"516","67","154C","CC","OA",3,0,0,0,0,0
"517","67","157B","CC","OC",3,0,0,0,0,0
"518","67","158","CC","OC",3,0,0,0,0,0
"519","67","159","CC","OE",3,0,0,0,0,0
"520","67","165A","CC","OC",3,0,0,0,0,0
"521","67","168A","CC","OE",3,0,0,0,0,0
"522","67","170C","CC","OC",3,0,0,0,0,0
"523","67","41","CC","CC",3,0,0,0,0,0
"524","67","53","CC","CC",3,0,0,0,0,0
"525","67","57","CC","CC",3,0,0,0,0,0
"526","67","67","CC","CC",3,0,0,0,0,0
"527","67","74","CC","CC",3,0,0,0,0,0
"528","67","77","CC","CC",3,0,0,0,0,0
"529","74","122A","CC","OC",3,0,0,0,0,0
"530","74","126B","CC","OC",3,0,0,0,0,0
"531","74","135A","CC","OE",3,0,0,0,0,0
"532","74","135B","CC","OE",3,0,0,0,0,0
"533","74","137B","CC","OA",3,0,0,0,0,0
"534","74","144A","CC","OA",3,0,0,0,0,0
"535","74","145B","CC","OA",3,0,0,0,0,0
"536","74","147A","CC","OC",3,0,0,0,0,0
"537","74","149A","CC","OE",3,0,0,0,0,0
"538","74","152A","CC","OA",3,0,0,0,0,0
"539","74","152B","CC","OA",3,0,0,0,0,0
"540","74","154C","CC","OA",3,0,0,0,0,0
"541","74","157B","CC","OC",3,0,0,0,0,0
"542","74","158","CC","OC",3,0,0,0,0,0
"543","74","159","CC","OE",3,0,0,0,0,0
"544","74","165A","CC","OC",3,0,0,0,0,0
"545","74","168A","CC","OE",3,0,0,0,0,0
"546","74","170C","CC","OC",3,0,0,0,0,0
"547","74","41","CC","CC",3,0,0,0,0,0
"548","74","53","CC","CC",3,0,0,0,0,0
"549","74","57","CC","CC",3,0,0,0,0,0
"550","74","67","CC","CC",3,0,0,0,0,0
"551","74","74","CC","CC",3,0,0,0,0,0
"552","74","77","CC","CC",3,0,0,0,0,0
"553","77","122A","CC","OC",3,0,0,0,0,0
"554","77","126B","CC","OC",3,0,0,0,0,0
"555","77","135A","CC","OE",3,0,0,0,0,0
"556","77","135B","CC","OE",3,0,0,0,0,0
"557","77","137B","CC","OA",3,0,0,0,0,0
"558","77","144A","CC","OA",3,0,0,0,0,0
"559","77","145B","CC","OA",3,0,0,0,0,0
"560","77","147A","CC","OC",3,0,0,0,0,0
"561","77","149A","CC","OE",3,0,0,0,0,0
"562","77","152A","CC","OA",3,0,0,0,0,0
"563","77","152B","CC","OA",3,0,0,0,0,0
"564","77","154C","CC","OA",3,0,0,0,0,0
"565","77","157B","CC","OC",3,0,0,0,0,0
"566","77","158","CC","OC",3,0,0,0,0,0
"567","77","159","CC","OE",3,0,0,0,0,0
"568","77","165A","CC","OC",3,0,0,0,0,0
"569","77","168A","CC","OE",3,0,0,0,0,0
"570","77","170C","CC","OC",3,0,0,0,0,0
"571","77","41","CC","CC",3,0,0,0,0,0
"572","77","53","CC","CC",3,0,0,0,0,0
"573","77","57","CC","CC",3,0,0,0,0,0
"574","77","67","CC","CC",3,0,0,0,0,0
"575","77","74","CC","CC",3,0,0,0,0,0
"576","77","77","CC","CC",3,0,0,0,0,0
