"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"132",0,"137B","154C",5,0,0,0,0,0
"133",0,"137B","157B",5,0,0,0,0,0
"134",0,"137B","158",5,0,0,0,0,0
"135",0,"137B","159",5,0,0,0,0,0
"136",0,"137B","165A",5,0,0,0,0,0
"137",0,"137B","168A",5,0,0,0,0,0
"138",0,"137B","170C",5,0,0,0,0,0
"139",0,"137B","41",5,0,0,0,0,0
"140",0,"137B","53",5,0,0,0,0,0
"141",0,"137B","57",5,0,0,0,0,0
"142",0,"137B","67",5,0,0,0,0,0
"143",0,"137B","74",5,0,0,0,0,0
"144",0,"137B","77",5,0,0,0,0,0
"145",0,"144A","122A",5,0,0,0,0,0
"146",0,"144A","126B",5,0,0,0,0,0
"147",0,"144A","135A",5,0,0,0,0,0
"148",0,"144A","135B",5,0,0,0,0,0
"149",0,"144A","137B",5,0,0,0,0,0
"150",0,"144A","144A",5,0,0,0,0,0
"151",0,"144A","145B",5,0,0,0,0,0
"152",0,"144A","147A",5,0,0,0,0,0
"153",0,"144A","149A",5,0,0,0,0,0
"154",0,"144A","152A",5,0,0,0,0,0
"155",0,"144A","152B",5,0,0,0,0,0
"156",0,"144A","154C",5,0,0,0,0,0
"157",0,"144A","157B",5,0,0,0,0,0
"158",0,"144A","158",5,0,0,0,0,0
"159",0,"144A","159",5,0,0,0,0,0
"160",0,"144A","165A",5,0,0,0,0,0
"161",0,"144A","168A",5,0,0,0,0,0
"162",0,"144A","170C",5,0,0,0,0,0
"163",0,"144A","41",5,0,0,0,0,0
"164",0,"144A","53",5,0,0,0,0,0
"165",0,"144A","57",5,0,0,0,0,0
"166",0,"144A","67",5,0,0,0,0,0
"167",0,"144A","74",5,0,0,0,0,0
"168",0,"144A","77",5,0,0,0,0,0
"169",0,"145B","122A",5,0,0,0,0,0
"170",0,"145B","126B",5,0,0,0,0,0
"171",0,"145B","135A",5,0,0,0,0,0
"172",0,"145B","135B",5,0,0,0,0,0
"173",0,"145B","137B",5,0,0,0,0,0
"174",0,"145B","144A",5,0,0,0,0,0
"175",0,"145B","145B",5,0,0,0,0,0
"176",0,"145B","147A",5,0,0,0,0,0
"177",0,"145B","149A",5,0,0,0,0,0
"178",0,"145B","152A",5,0,0,0,0,0
"179",0,"145B","152B",5,0,0,0,0,0
"180",0,"145B","154C",5,0,0,0,0,0
"181",0,"145B","157B",5,0,0,0,0,0
"182",0,"145B","158",5,0,0,0,0,0
"183",0,"145B","159",5,0,0,0,0,0
"184",0,"145B","165A",5,0,0,0,0,0
"185",0,"145B","168A",5,0,0,0,0,0
"186",0,"145B","170C",5,0,0,0,0,0
"187",0,"145B","41",5,0,0,0,0,0
"188",0,"145B","53",5,0,0,0,0,0
"189",0,"145B","57",5,0,0,0,0,0
