"","time","sup_geno","inoc_geno","N","OD","median","sd","se","ci"
"1",0,"100% TY","CC",30,0,0,0,0,0
"2",0,"100% TY","OA",30,0,0,0,0,0
"3",0,"100% TY","OC",35,0,0,0,0,0
"4",0,"100% TY","OE",25,0,0,0,0,0
"5",0,"50% TY","CC",30,0,0,0,0,0
"6",0,"50% TY","OA",30,0,0,0,0,0
"7",0,"50% TY","OC",35,0,0,0,0,0
"8",0,"50% TY","OE",25,0,0,0,0,0
"9",0,"CC","CC",180,0,0,0,0,0
"10",0,"CC","OA",180,0,0,0,0,0
"11",0,"CC","OC",210,0,0,0,0,0
"12",0,"CC","OE",150,0,0,0,0,0
"13",0,"OA","CC",180,0,0,0,0,0
"14",0,"OA","OA",180,0,0,0,0,0
"15",0,"OA","OC",210,0,0,0,0,0
"16",0,"OA","OE",150,0,0,0,0,0
"17",0,"OC","CC",210,0,0,0,0,0
"18",0,"OC","OA",210,0,0,0,0,0
"19",0,"OC","OC",245,0,0,0,0,0
"20",0,"OC","OE",175,0,0,0,0,0
"21",0,"OE","CC",150,0,0,0,0,0
"22",0,"OE","OA",150,0,0,0,0,0
"23",0,"OE","OC",175,0,0,0,0,0
"24",0,"OE","OE",125,0,0,0,0,0
"25",24,"100% TY","CC",30,0.0370766666666667,0.0357,0.0127659483306807,0.00233073262288641,0.00476688344821299
"26",24,"100% TY","OA",30,0.0591433333333333,0.061,0.0170183204190383,0.00310710599478602,0.0063547452817846
"27",24,"100% TY","OC",35,0.0439857142857143,0.0471,0.0134308499765442,0.00227022800045934,0.00461365838883284
"28",24,"100% TY","OE",25,0.051472,0.0498,0.0134208022611666,0.00268416045223331,0.00553983489654316
"29",24,"50% TY","CC",30,0.05784,0.0538,0.015120130450085,0.00276054550664409,0.00564594949864473
"30",24,"50% TY","OA",30,0.0510633333333333,0.05495,0.0142317150281924,0.00259834378430875,0.00531420972811953
"31",24,"50% TY","OC",35,0.0431542857142857,0.0446,0.0170698106894831,0.00288532462632538,0.00586368512944896
"32",24,"50% TY","OE",25,0.075632,0.0755,0.0128396105859952,0.00256792211719904,0.00529993076405989
"33",24,"CC","CC",150,0.0586386666666667,0.05855,0.0187512032246297,0.00153102933211911,0.00302533413569604
"34",24,"CC","OA",180,0.0541372222222222,0.05495,0.0198866369061331,0.00148226239886566,0.00292495644606049
"35",24,"CC","OC",210,0.0490933333333333,0.0508,0.0160096129415759,0.00110476825093832,0.0021779174396696
"36",24,"CC","OE",150,0.04744,0.0504,0.0182633531180365,0.00149119653771525,0.00294662400904983
"37",24,"OA","CC",180,0.0457716666666667,0.04735,0.0171209280115785,0.001276118629059,0.00251817182494844
"38",24,"OA","OA",150,0.04423,0.0382,0.022655404410279,0.00184980602405277,0.00365524107969712
"39",24,"OA","OC",210,0.0455857142857143,0.043,0.0196178828124336,0.00135376252760748,0.00266877964273807
"40",24,"OA","OE",150,0.0515213333333333,0.05315,0.0188979299554092,0.00154300951952033,0.00304900714387203
"41",24,"OC","CC",210,0.0433680952380952,0.0431,0.0201458671409721,0.00139019690770717,0.00274060563136081
"42",24,"OC","OA",210,0.0404642857142857,0.04445,0.0243882219340521,0.00168294720102871,0.00331772754697693
"43",24,"OC","OC",210,0.0520914285714286,0.0542,0.0180803846461906,0.00124766507439984,0.00245962130256203
"44",24,"OC","OE",175,0.0505605714285714,0.0515,0.017368894435872,0.00131296500644145,0.00259138779391277
"45",24,"OE","CC",150,0.039676,0.0386,0.0207932412870499,0.00169776104172815,0.00335479819102214
"46",24,"OE","OA",150,0.00412933333333333,0.0048,0.02224154027145,0.00181601415862053,0.0035884679083043
"47",24,"OE","OC",175,0.0286217142857143,0.0297,0.0218129848344779,0.00164890666354434,0.00325443296679421
"48",24,"OE","OE",100,0.04719,0.0471,0.0268888227313653,0.00268888227313653,0.00533532578717772
"49",39,"100% TY","CC",30,0.16448,0.15885,0.0182254918102129,0.00332750432869309,0.00680551048736799
"50",39,"100% TY","OA",30,0.217356666666667,0.23395,0.0368399397518446,0.00672602200640552,0.0137562595811375
"51",39,"100% TY","OC",35,0.170122857142857,0.1746,0.0174245277717138,0.00294528275657983,0.00598553471044751
"52",39,"100% TY","OE",25,0.188656,0.1893,0.0152696616421801,0.00305393232843602,0.00630300653996843
"53",39,"50% TY","CC",30,0.143543333333333,0.146,0.0152184707042039,0.00277849989847467,0.0056826703530231
"54",39,"50% TY","OA",30,0.159833333333333,0.16635,0.0221270989003784,0.00403983706662833,0.0082623945180547
"55",39,"50% TY","OC",35,0.118922857142857,0.1159,0.0149714843799075,0.00253064274465608,0.00514288482287203
