"","time","sup_geno","inoc_geno","N","comp_ind","median","sd","se","ci"
"1",0,"100% TY","CC",30,NA,NA,NA,NA,NA
"2",0,"100% TY","OA",30,NA,NA,NA,NA,NA
"3",0,"100% TY","OC",35,NA,NA,NA,NA,NA
"4",0,"100% TY","OE",25,NA,NA,NA,NA,NA
"5",0,"50% TY","CC",30,NA,NA,NA,NA,NA
"6",0,"50% TY","OA",30,NA,NA,NA,NA,NA
"7",0,"50% TY","OC",35,NA,NA,NA,NA,NA
"8",0,"50% TY","OE",25,NA,NA,NA,NA,NA
"9",0,"CC","CC",180,NA,NA,NA,NA,NA
"10",0,"CC","OA",180,NA,NA,NA,NA,NA
"11",0,"CC","OC",210,NA,NA,NA,NA,NA
"12",0,"CC","OE",150,NA,NA,NA,NA,NA
"13",0,"OA","CC",180,NA,NA,NA,NA,NA
"14",0,"OA","OA",180,NA,NA,NA,NA,NA
"15",0,"OA","OC",210,NA,NA,NA,NA,NA
"16",0,"OA","OE",150,NA,NA,NA,NA,NA
"17",0,"OC","CC",210,NA,NA,NA,NA,NA
"18",0,"OC","OA",210,NA,NA,NA,NA,NA
"19",0,"OC","OC",245,NA,NA,NA,NA,NA
"20",0,"OC","OE",175,NA,NA,NA,NA,NA
"21",0,"OE","CC",150,NA,NA,NA,NA,NA
"22",0,"OE","OA",150,NA,NA,NA,NA,NA
"23",0,"OE","OC",175,NA,NA,NA,NA,NA
"24",0,"OE","OE",125,NA,NA,NA,NA,NA
"25",24,"100% TY","CC",30,0.693493778033333,0.569653584,0.371247545563445,0.0677802183745086,0.138626111769773
"26",24,"100% TY","OA",30,0.9326875944,1.208551029,4.1158628888603,0.751450315942388,1.53688846075536
"27",24,"100% TY","OC",35,0.939982966685714,0.838351823,0.368702837001573,0.0623221542844708,0.126653855853467
"28",24,"100% TY","OE",25,1.74853842344,1.094674556,1.69235886677413,0.338471773354825,0.698571406178711
"29",24,"50% TY","CC",30,1.13113306173333,0.888745301,0.7951949834576,0.145182076684892,0.296930686742324
"30",24,"50% TY","OA",30,0.8355757122,0.843424575,4.45533488931633,0.813429140039445,1.66364938898319
"31",24,"50% TY","OC",35,0.992721192942857,0.912103746,0.538955474624086,0.0911001024975547,0.185137683098937
"32",24,"50% TY","OE",25,2.53326739556,1.646153846,2.29503737655381,0.459007475310763,0.947344868070395
"33",24,"CC","CC",150,1.08898702289333,0.969401253,0.524155102964099,0.0427970849446007,0.0845676038172144
"34",24,"CC","OA",180,0.871460799105556,0.966921268,3.55824809415357,0.265216153977882,0.523352477787091
"35",24,"CC","OC",210,1.08237410005238,0.961359362,0.516800583946596,0.0356626284029563,0.0703045731783901
"36",24,"CC","OE",150,1.41842000362667,1.077290601,1.17467485595738,0.0959118003590968,0.18952298140547
"37",24,"OA","CC",180,0.860991908383333,0.7792542835,0.533125622793774,0.0397368377704596,0.078412917896125
"38",24,"OA","OA",150,0.717061683706667,0.6961240425,4.0265377859124,0.328765433517377,0.649644828999035
"39",24,"OA","OC",210,1.0203087255,0.888164634,0.625456078508343,0.0431605698659935,0.0850858609825074
"40",24,"OA","OE",150,1.48808289825333,1.0986480845,1.09875471786802,0.0897129470417443,0.177273965563819
"41",24,"OC","CC",210,0.814854645509524,0.7162271715,0.530756521059813,0.0366256795579742,0.072203112445812
"42",24,"OC","OA",210,0.860393998385714,0.7545626255,2.22121165933274,0.15327816661152,0.302169429561613
"43",24,"OC","OC",210,1.15201794371905,0.980572706,0.619786373805194,0.0427693230712651,0.0843145650869834
"44",24,"OC","OE",175,1.48635735268571,1.091710758,1.12330224606475,0.0849136682927891,0.167593380227764
"45",24,"OE","CC",150,0.73162111808,0.633670415,0.550185867258505,0.0449224879491325,0.0887674281620696
"46",24,"OE","OA",150,0.166692805453333,0.153078807,2.38238565822117,0.194520974438884,0.384376008828176
"47",24,"OE","OC",175,0.618565397034286,0.563380282,0.522916675683141,0.0395287851504631,0.0780176248754259
"48",24,"OE","OE",100,1.28942232861,1.0462336285,0.95425787716546,0.095425787716546,0.189345465605658
"49",39,"100% TY","CC",30,1.19854229816667,1.0935458145,0.246949993458679,0.0450866939976906,0.0922126430298436
"50",39,"100% TY","OA",30,1.4002993846,1.375482921,0.282722306240776,0.0516177948793188,0.105570244148708
"51",39,"100% TY","OC",35,1.3284492776,1.353488372,0.189718397416,0.0320682621552816,0.0651705496884323
"52",39,"100% TY","OE",25,1.64465565732,1.390151515,0.60688550380551,0.121377100761102,0.250510023675418
"53",39,"50% TY","CC",30,1.05037576703333,1.0366382915,0.257037471453172,0.0469284070796642,0.0959793692173994
"54",39,"50% TY","OA",30,1.02924618013333,0.9790597635,0.171853661259609,0.0313760422872465,0.0641712117386857
"55",39,"50% TY","OC",35,0.930278942514286,0.883792049,0.165018353549339,0.0278931927221037,0.0566857877568361
"56",39,"50% TY","OE",25,1.34295174476,1.11952487,0.497539159560691,0.0995078319121381,0.205374071154185
"57",39,"CC","CC",149,1.04231681724161,1.003152088,0.215799636383653,0.017678995056189,0.0349358597950212
"58",39,"CC","OA",180,0.981929263611111,0.954800161,0.252266869825669,0.0188028623133762,0.0371037903747583
"59",39,"CC","OC",210,1.05429517878571,1.0261514555,0.190303110264514,0.0131321622229272,0.0258884748919892
"60",39,"CC","OE",150,1.15347406841333,1.0677266615,0.344749379091993,0.0281486689305569,0.0556221407411905
"61",39,"OA","CC",180,0.9966449641,0.9844464095,0.224166472704066,0.0167083823747548,0.0329707417308047
"62",39,"OA","OA",150,0.987962110493333,0.9549341805,0.294891750549442,0.0240778106067411,0.0475780710488249
