"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"64","122A","157B",39,5,0.13338,0.1293,0.010353598408283,0.00463026997053088,0.0128556903954248
"65","122A","157B",48,5,0.16974,0.165,0.0141378216143789,0.00632262603670342,0.0175544241116013
"66","122A","157B",62,5,0.2396,0.2329,0.0171789114905456,0.00768264277446244,0.0213304359261394
"67","122A","158",0,5,0,0,0,0,0
"68","122A","158",24,5,0.0759,0.0741,0.0220123828787344,0.00984423689272053,0.0273319833352015
"69","122A","158",39,5,0.12826,0.123,0.0155875912186585,0.00697098271407985,0.0193545508349254
"70","122A","158",48,5,0.19204,0.1786,0.0219536557320188,0.00981797331428437,0.0272590639514074
"71","122A","158",62,5,0.22644,0.2163,0.0203460807036638,0.0090990439058178,0.0252629959142876
"72","122A","159",0,5,0,0,0,0,0
"73","122A","159",24,5,0.06366,0.0624,0.0148755840221485,0.00665256341570676,0.018470477132557
"74","122A","159",39,5,0.13902,0.1425,0.0132010226876557,0.00590367682042302,0.0163912346107332
"75","122A","159",48,5,0.18308,0.1737,0.0219765101870156,0.0098281941372767,0.0272874415053755
"76","122A","159",62,5,0.22084,0.215,0.0193449735073481,0.00865133515707258,0.0240199571502797
"77","122A","165A",0,5,0,0,0,0,0
"78","122A","165A",24,5,0.0749,0.0751,0.00140890028036054,0.000630079360080935,0.00174938075518287
"79","122A","165A",39,5,0.15366,0.1528,0.00637322524315593,0.00285019297592286,0.00791340433687015
"80","122A","165A",48,5,0.19324,0.1925,0.00414764993701252,0.00185488544120654,0.00514998760394056
"81","122A","165A",62,5,0.237,0.2344,0.0104364745005198,0.00466733328572108,0.012958594655467
"82","122A","168A",0,5,0,0,0,0,0
"83","122A","168A",24,5,0.04396,0.0406,0.0156543284748979,0.00700082852239647,0.0194374160833368
"84","122A","168A",39,5,0.1266,0.1267,0.0143082144238895,0.00639882801769199,0.0177659947287234
"85","122A","168A",48,5,0.16302,0.1563,0.0175896844769882,0.00786634603866369,0.0218404779548399
"86","122A","168A",62,5,0.20392,0.1998,0.0137204956178704,0.00613599217730922,0.0170362454462221
"87","122A","170C",0,5,0,0,0,0,0
"88","122A","170C",24,5,0.06242,0.0599,0.0119836138122021,0.00535923502003784,0.0148796218389887
"89","122A","170C",39,5,0.13262,0.1273,0.00823814299463173,0.00368420954887205,0.0102290055684888
"90","122A","170C",48,5,0.172,0.1669,0.0142103835275477,0.006355076710788,0.0176445216268238
"91","122A","170C",62,5,0.21622,0.2113,0.0112664102534925,0.00503849183784195,0.0139890960007553
"92","122A","41",0,5,0,0,0,0,0
"93","122A","41",24,5,0.06382,0.0628,0.00412819573179374,0.00184618525614306,0.00512583201770672
"94","122A","41",39,5,0.13486,0.1331,0.00364801315787101,0.00163144108076265,0.00452960660310206
"95","122A","41",48,5,0.17362,0.1733,0.00321434285663493,0.00143749782608531,0.00399113380296703
"96","122A","41",62,5,0.2142,0.2145,0.014435200033252,0.00645561770863176,0.0179236681881588
"97","122A","50% TY",0,5,0,0,0,0,0
"98","122A","50% TY",24,5,0.03768,0.034,0.0111295552471786,0.00497728841840615,0.0138191680664414
"99","122A","50% TY",39,5,0.10288,0.1021,0.00678616239121935,0.0030348640826238,0.00842613352714144
"100","122A","50% TY",48,5,0.14916,0.1457,0.0107183487534228,0.0047933912838407,0.0133085877673173
"101","122A","50% TY",62,5,0.20826,0.2149,0.0114905613439901,0.00513873525295865,0.0142674163399844
"102","122A","53",0,5,0,0,0,0,0
"103","122A","53",24,5,0.0478,0.0449,0.00913208628956166,0.00408399314397074,0.0113389827742389
"104","122A","53",39,5,0.12826,0.131,0.0143487978590543,0.00641697748164975,0.0178163857190909
"105","122A","53",48,5,0.18466,0.1815,0.0109079328930829,0.00487817588858786,0.0135439875681637
"106","122A","53",62,5,0.22672,0.2273,0.0103100436468523,0.00461079168907033,0.012801610016206
"107","122A","57",0,5,0,0,0,0,0
"108","122A","57",24,5,0.05854,0.0578,0.00283689971623955,0.0012687001221723,0.00352247624416912
"109","122A","57",39,5,0.12532,0.1246,0.00614670643515696,0.00274889068534928,0.0076321440880618
"110","122A","57",48,5,0.17364,0.1744,0.00750486508872745,0.00335627770007191,0.00931852079204917
"111","122A","57",62,5,0.22952,0.232,0.00900288842538882,0.00402621410260309,0.0111785624376507
"112","122A","67",0,5,0,0,0,0,0
"113","122A","67",24,5,0.02256,0.0193,0.0119930396480625,0.0053634503819836,0.0148913255600296
"114","122A","67",39,5,0.1051,0.098,0.0135310753452931,0.00605128085614938,0.0168010491132331
"115","122A","67",48,5,0.14784,0.1416,0.0184142064721779,0.00823508348470129,0.0228642572319941
"116","122A","67",62,5,0.22338,0.2289,0.0154355757910095,0.00690299934810949,0.0191657987512421
"117","122A","74",0,5,0,0,0,0,0
"118","122A","74",24,5,0.05624,0.0566,0.00264253666010521,0.0011817783210061,0.00328114263478626
"119","122A","74",39,5,0.14936,0.1508,0.00798767801053598,0.00357219820278775,0.00991801221492639
"120","122A","74",48,5,0.1931,0.1882,0.0118892808865801,0.00531704805319644,0.0147624920413987
"121","122A","74",62,5,0.26376,0.2613,0.0103869148451309,0.00464516953404286,0.0128970582156072
"122","122A","77",0,5,0,0,0,0,0
"123","122A","77",24,5,0.05958,0.0592,0.00410390058359118,0.00183532013556219,0.00509566560685258
"124","122A","77",39,5,0.12944,0.1298,0.00963057630674302,0.00430692465687525,0.011957939882037
"125","122A","77",48,5,0.19178,0.1877,0.00869810324151191,0.00388991002466638,0.0108001216476448
"126","122A","77",62,5,0.23814,0.2364,0.0105272503532499,0.00470792948120509,0.0130713077637083
"127","126B","100% TY",0,5,0,0,0,0,0
"128","126B","100% TY",24,5,0.02182,0.021,0.00218563491919396,0.000977445650662992,0.00271382419238014
"129","126B","100% TY",39,5,0.14298,0.1446,0.00332370275445925,0.00148640505919484,0.00412692205094274
"130","126B","100% TY",48,5,0.19766,0.1985,0.00428287286759717,0.00191535897418735,0.00531788904857912
"131","126B","100% TY",62,5,0.26454,0.2641,0.00265198039208438,0.00118600168633945,0.00329286857679348
"132","126B","122A",0,5,0,0,0,0,0
"133","126B","122A",24,5,0.03558,0.0378,0.00574430152411936,0.00256892973823731,0.00713249239732602
"134","126B","122A",39,5,0.12358,0.126,0.00674514640315538,0.00301652117512873,0.00837520545141165
"135","126B","122A",48,5,0.15634,0.1569,0.0063775387101922,0.00285212201702522,0.00791876021359652
"136","126B","122A",62,5,0.19488,0.1972,0.00811523259062856,0.00362924234517344,0.0100763921448334
"137","126B","126B",0,5,0,0,0,0,0
"138","126B","135A",0,5,0,0,0,0,0
"139","126B","135A",24,5,0.03924,0.0352,0.00895896199344545,0.00400656960503621,0.011124020568537
"140","126B","135A",39,5,0.11838,0.1172,0.00722163416409333,0.00322961297990951,0.00896684314975302
"141","126B","135A",48,5,0.14278,0.14,0.00516884900147024,0.00231157954654388,0.00641797371727708
"142","126B","135A",62,5,0.1812,0.1807,0.0050586559479767,0.00226229971489191,0.006281150969902
"143","126B","135B",0,5,0,0,0,0,0
"144","126B","135B",24,5,0.01726,0.0183,0.00335156679778279,0.00149886623819472,0.00416151983038197
"145","126B","135B",39,5,0.09254,0.0934,0.00475005263128736,0.00212428811605206,0.00589796934184258
"146","126B","135B",48,5,0.13184,0.1343,0.00488804664462196,0.00218600091491289,0.0060693115401678
"147","126B","135B",62,5,0.1702,0.1712,0.00315832233947075,0.00141244468918255,0.00392157514364352
"148","126B","137B",0,5,0,0,0,0,0
"149","126B","137B",24,5,0.0427,0.0406,0.00860174400921116,0.00384681686592954,0.0106804758580024
"150","126B","137B",39,5,0.12368,0.1185,0.00919711911415743,0.00411307670728373,0.011419731691241
"151","126B","137B",48,5,0.1585,0.1577,0.00861539320054517,0.0038529209698617,0.0106974235674864
"152","126B","137B",62,5,0.2024,0.2016,0.00616563054358595,0.00275735380392143,0.00765564147219618
"153","126B","144A",0,5,0,0,0,0,0
"154","126B","144A",24,5,0.0431,0.0404,0.00911235425123497,0.00407516870816412,0.0113144822126375
"155","126B","144A",39,5,0.13278,0.1306,0.0075014665232873,0.00335475781540188,0.0093143009156966
"156","126B","144A",48,5,0.15586,0.1558,0.00409182111045926,0.00182991803095111,0.00508066695994741
