"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"165A_100_TY_2","100_TY",NA,"165A","OC","165A_100_TY",2,7.71005,0.3077,0.3077,1.1119916925673,1.41276400367309
"165A_100_TY_3","100_TY",NA,"165A","OC","165A_100_TY",3,7.485,0.2971,0.2971,1.10302244359628,1.39614661654135
"165A_100_TY_4","100_TY",NA,"165A","OC","165A_100_TY",4,7.78345,0.293,0.293,1.16664543253918,1.36788048552754
"165A_100_TY_5","100_TY",NA,"165A","OC","165A_100_TY",5,7.70785,0.2979,0.2979,1.18778749470278,1.4206008583691
"144A_100_TY_1","100_TY",NA,"144A","OA","144A_100_TY",1,10.651,0.3862,0.3862,1.3425686662549,1.40897482670558
"144A_100_TY_2","100_TY",NA,"144A","OA","144A_100_TY",2,10.36505,0.3829,0.3829,1.27958051195319,1.41814814814815
"144A_100_TY_3","100_TY",NA,"144A","OA","144A_100_TY",3,10.22735,0.3733,0.3733,1.2891753064633,1.46220133176655
"144A_100_TY_4","100_TY",NA,"144A","OA","144A_100_TY",4,10.20565,0.3753,0.3753,1.25570908285553,1.39568612867237
"144A_100_TY_5","100_TY",NA,"144A","OA","144A_100_TY",5,10.3296,0.3724,0.3724,1.28711341490767,1.42137404580153
"122A_100_TY_1","100_TY",NA,"122A","OC","122A_100_TY",1,7.896,0.326,0.326,1.24820183689277,1.47178329571106
"122A_100_TY_2","100_TY",NA,"122A","OC","122A_100_TY",2,7.7015,0.316,0.316,1.2102616484639,1.3920704845815
"122A_100_TY_3","100_TY",NA,"122A","OC","122A_100_TY",3,7.98435,0.3141,0.3141,1.217859839385,1.41934026208766
"122A_100_TY_4","100_TY",NA,"122A","OC","122A_100_TY",4,8.5392,0.3202,0.3202,1.35591282600929,1.41368653421634
"122A_100_TY_5","100_TY",NA,"122A","OC","122A_100_TY",5,8.4373,0.3187,0.3187,1.33015402563415,1.37193284545846
