"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"170C_145B_3","145B","OA","170C","OC","170C_145B",3,7.85545000000001,0.2259,0.2259,1.70815212664173,1.12053571428571
"170C_145B_4","145B","OA","170C","OC","170C_145B",4,8.3801,0.2386,0.2382,1.63616306767152,1.11778507742844
"170C_145B_5","145B","OA","170C","OC","170C_145B",5,8.81615,0.2627,0.2397,1.86933336160468,1.18020679468242
"145B_145B_1","145B","OA","145B","OA","145B_145B",1,6.33545,0.2066,0.2066,1,1
"145B_145B_2","145B","OA","145B","OA","145B_145B",2,6.9343,0.22,0.22,1,1
"145B_145B_3","145B","OA","145B","OA","145B_145B",3,5.98485,0.2072,0.2072,1,1
"145B_145B_4","145B","OA","145B","OA","145B_145B",4,6.49645,0.2125,0.2125,1,1
"145B_145B_5","145B","OA","145B","OA","145B_145B",5,5.9844,0.2013,0.2013,1,1
"157B_145B_1","145B","OA","157B","OC","157B_145B",1,6.4696,0.1998,0.1998,1.1012928649854,0.938468764678253
"157B_145B_2","145B","OA","157B","OC","157B_145B",2,6.92095,0.2096,0.2085,1.12397788081299,0.948158253751705
"157B_145B_3","145B","OA","157B","OC","157B_145B",3,6.5517,0.2054,0.196,1.07783042147863,0.906567992599445
"157B_145B_4","145B","OA","157B","OC","157B_145B",4,6.95295,0.2051,0.1959,1.11746932281161,0.924056603773585
"157B_145B_5","145B","OA","157B","OC","157B_145B",5,7.37825,0.2209,0.2043,1.28736063371312,0.983630235917188
"154C_145B_1","145B","OA","154C","OA","154C_145B",1,5.68795,0.2104,0.2104,0.964598843420895,0.796065077563375
"154C_145B_2","145B","OA","154C","OA","154C_145B",2,5.1622,0.1946,0.1946,0.910995226372307,0.730480480480481
"154C_145B_3","145B","OA","154C","OA","154C_145B",3,4.3156,0.1731,0.1731,0.878305909169541,0.73471986417657
"154C_145B_4","145B","OA","154C","OA","154C_145B",4,4.79445,0.1834,0.1834,0.822714324936509,0.715288611544462
"154C_145B_5","145B","OA","154C","OA","154C_145B",5,5.7579,0.1929,0.1929,1.07171574284332,0.758851298190401
"165A_145B_1","145B","OA","165A","OC","165A_145B",1,6.7562,0.221,0.192,0.943412297788855,0.845814977973568
"165A_145B_2","145B","OA","165A","OC","165A_145B",2,6.97015,0.2128,0.1878,1.00527868119506,0.862258953168044
"165A_145B_3","145B","OA","165A","OC","165A_145B",3,7.3969,0.2346,0.1891,1.09003964102035,0.888627819548872
"165A_145B_4","145B","OA","165A","OC","165A_145B",4,7.07695,0.2173,0.1854,1.06074958968171,0.865546218487395
"165A_145B_5","145B","OA","165A","OC","165A_145B",5,7.70489999999999,0.212,0.2072,1.1873328967138,0.988078206962327
"144A_145B_1","145B","OA","144A","OA","144A_145B",1,7.31875,0.2603,0.2603,0.922535388804155,0.949653411163809
"144A_145B_2","145B","OA","144A","OA","144A_145B",2,7.0504,0.2455,0.2455,0.870382143981433,0.909259259259259
"144A_145B_3","145B","OA","144A","OA","144A_145B",3,7.09825,0.2486,0.2486,0.894746793558756,0.973756365060713
"144A_145B_4","145B","OA","144A","OA","144A_145B",4,6.99569999999999,0.2324,0.2324,0.860754976991411,0.864261807363332
"144A_145B_5","145B","OA","144A","OA","144A_145B",5,7.93965,0.2382,0.2382,0.98931517432153,0.909160305343511
"122A_145B_1","145B","OA","122A","OC","122A_145B",1,6.4992,0.2021,0.1977,1.0273953113391,0.89255079006772
"122A_145B_2","145B","OA","122A","OC","122A_145B",2,7.06545,0.2231,0.2093,1.11030879233126,0.922026431718062
"122A_145B_3","145B","OA","122A","OC","122A_145B",3,6.58120000000001,0.2048,0.2048,1.00383615134113,0.925440578400362
"122A_145B_4","145B","OA","122A","OC","122A_145B",4,6.87205,0.2067,0.2067,1.09119129847962,0.912582781456954
"122A_145B_5","145B","OA","122A","OC","122A_145B",5,7.10215,0.2131,0.2131,1.11966546325929,0.917348256564787
"149A_145B_1","145B","OA","149A","OE","149A_145B",1,6.59345,0.2181,0.2181,1.02447191168359,0.968902709906708
"149A_145B_2","145B","OA","149A","OE","149A_145B",2,6.6447,0.2241,0.2241,1.05975231457484,0.988967343336276
"149A_145B_3","145B","OA","149A","OE","149A_145B",3,6.77025,0.2249,0.2249,1.04553386663372,0.967728055077453
"149A_145B_4","145B","OA","149A","OE","149A_145B",4,6.5606,0.2128,0.2128,1.05956264737233,0.918429003021148
"149A_145B_5","145B","OA","149A","OE","149A_145B",5,6.81815,0.2253,0.2253,1.16461977316207,1.10495340853359
"41_145B_1","145B","OA","41","CC","41_145B",1,6.3965,0.2185,0.2185,1.02776483442325,0.972840605520926
"41_145B_2","145B","OA","41","CC","41_145B",2,6.09595,0.2082,0.2082,0.986958633530316,0.926156583629893
"41_145B_3","145B","OA","41","CC","41_145B",3,6.512,0.2101,0.2101,0.968046440065706,0.868181818181818
"41_145B_4","145B","OA","41","CC","41_145B",4,6.2915,0.2233,0.2233,0.880373334825926,0.859838274932614
"41_145B_5","145B","OA","41","CC","41_145B",5,6.5201,0.2256,0.2256,0.997933757805804,0.9451193967323
"126B_145B_1","145B","OA","126B","OC","126B_145B",1,5.64755,0.1878,0.1878,0.807467669409435,0.773794808405439
"126B_145B_2","145B","OA","126B","OC","126B_145B",2,5.08295,0.1813,0.1813,0.85577311603475,0.751346871114795
"126B_145B_3","145B","OA","126B","OC","126B_145B",3,5.47415,0.1925,0.1925,0.955357376591419,0.815677966101695
"126B_145B_4","145B","OA","126B","OC","126B_145B",4,5.4123,0.1887,0.1887,0.921532737968553,0.78625
"126B_145B_5","145B","OA","126B","OC","126B_145B",5,5.49875,0.1872,0.1872,0.934787967393984,0.789873417721519
"53_145B_1","145B","OA","53","CC","53_145B",1,6.82905,0.2483,0.2483,0.957737293840458,1.00771103896104
"53_145B_2","145B","OA","53","CC","53_145B",2,6.0305,0.2318,0.2318,0.853990979317574,0.950779327317473
"53_145B_3","145B","OA","53","CC","53_145B",3,6.49675,0.2407,0.2407,0.928471899674872,1.00964765100671
"53_145B_4","145B","OA","53","CC","53_145B",4,6.95445,0.2424,0.2424,0.921503673718174,0.936992655585621
"53_145B_5","145B","OA","53","CC","53_145B",5,7.21695,0.2408,0.2408,0.968061917760445,0.938059992208804
"135B_145B_1","145B","OA","135B","OE","135B_145B",1,7.34345,0.2539,0.2539,1.2688356904044,1.05747605164515
"135B_145B_2","145B","OA","135B","OE","135B_145B",2,7.46055,0.2526,0.2526,1.24629147038188,1.03737166324435
"135B_145B_3","145B","OA","135B","OE","135B_145B",3,7.59235,0.2522,0.2522,1.25892916362672,1.02229428455614
"135B_145B_4","145B","OA","135B","OE","135B_145B",4,7.55575,0.2633,0.2633,1.15509268106249,1.01699497875628
"135B_145B_5","145B","OA","135B","OE","135B_145B",5,8.03695,0.2689,0.2689,1.38248701276362,1.1139188069594
"57_145B_1","145B","OA","57","CC","57_145B",1,5.73915,0.2003,0.2003,1.00673595579529,0.869357638888889
"57_145B_2","145B","OA","57","CC","57_145B",2,5.07315000000001,0.1881,0.1881,1.32446121111648,1.05201342281879
"57_145B_3","145B","OA","57","CC","57_145B",3,5.5015,0.1899,0.1899,0.971010016326171,0.861615245009074
"57_145B_4","145B","OA","57","CC","57_145B",4,5.76979999999999,0.1976,0.1976,0.974142952413914,0.845528455284553
"57_145B_5","145B","OA","57","CC","57_145B",5,5.3833,0.2009,0.2009,0.782479141835518,0.792192429022082
"135A_145B_1","145B","OA","135A","OE","135A_145B",1,6.5208,0.2116,0.2116,1.10847060023459,1.07739307535642
"135A_145B_2","145B","OA","135A","OE","135A_145B",2,6.78045,0.2214,0.2214,1.17650784286508,1.10810810810811
"135A_145B_3","145B","OA","135A","OE","135A_145B",3,6.60155,0.2113,0.2113,1.16202990644335,1.09142561983471
"135A_145B_4","145B","OA","135A","OE","135A_145B",4,6.48355,0.2112,0.2112,1.2115727807002,1.00619342544069
"135A_145B_5","145B","OA","135A","OE","135A_145B",5,6.3769,0.2106,0.2106,1.09518861686689,1.01445086705202
"77_145B_1","145B","OA","77","CC","77_145B",1,5.91675,0.2336,0.2336,0.798083278255123,0.884178652535958
"77_145B_2","145B","OA","77","CC","77_145B",2,5.6383,0.2272,0.2272,0.747775228445247,0.858979206049149
"77_145B_3","145B","OA","77","CC","77_145B",3,5.60425,0.223,0.223,0.757208290547479,0.84984756097561
"77_145B_4","145B","OA","77","CC","77_145B",4,5.54735,0.2193,0.2193,0.730154656136887,0.814333457111029
"77_145B_5","145B","OA","77","CC","77_145B",5,5.854,0.2187,0.2187,0.66803224904571,0.793829401088929
"159_145B_1","145B","OA","159","OE","159_145B",1,6.4974,0.2241,0.2241,0.891239043660754,0.941992433795713
"159_145B_2","145B","OA","159","OE","159_145B",2,6.98455,0.2326,0.2326,0.93390695093497,0.9417004048583
"159_145B_3","145B","OA","159","OE","159_145B",3,6.8285,0.226,0.226,0.903700958821622,0.894341115947764
"159_145B_4","145B","OA","159","OE","159_145B",4,7.23005,0.2318,0.2318,0.972696085026234,0.955088586732592
"159_145B_5","145B","OA","159","OE","159_145B",5,6.80605,0.2291,0.2291,0.920775469617744,0.936631234668847
"74_145B_1","145B","OA","74","CC","74_145B",1,7.01145,0.2555,0.2555,0.991844789294253,0.894294714735737
"74_145B_2","145B","OA","74","CC","74_145B",2,6.0006,0.2337,0.2337,0.842171743752764,0.826379066478076
"74_145B_3","145B","OA","74","CC","74_145B",3,6.6046,0.2432,0.2432,0.904727332502295,0.856639661852765
"74_145B_4","145B","OA","74","CC","74_145B",4,6.83685000000001,0.2436,0.2436,0.947424216178764,0.841450777202072
"74_145B_5","145B","OA","74","CC","74_145B",5,6.53535,0.2522,0.2522,0.808320243410719,0.866071428571428
"168A_145B_1","145B","OA","168A","OE","168A_145B",1,5.14905,0.1865,0.1865,1.60109765388143,1.39283047050037
"168A_145B_2","145B","OA","168A","OE","168A_145B",2,5.8467,0.2075,0.2075,1.88600183868002,1.58276125095347
"168A_145B_3","145B","OA","168A","OE","168A_145B",3,4.5646,0.1795,0.1795,1.33393728630293,1.31405563689605
"168A_145B_4","145B","OA","168A","OE","168A_145B",4,4.7049,0.1748,0.1748,1.45002619656671,1.38072669826224
"168A_145B_5","145B","OA","168A","OE","168A_145B",5,5.0743,0.1889,0.1889,1.52932489451477,1.48040752351097
"67_145B_1","145B","OA","67","CC","67_145B",1,6.94265,0.2562,0.2562,1.11044200794926,0.983493282149712
"67_145B_2","145B","OA","67","CC","67_145B",2,5.75329999999999,0.2411,0.2411,0.959515014050917,1.00752193898872
"67_145B_3","145B","OA","67","CC","67_145B",3,5.68455,0.2443,0.2443,0.9294555264879,1.01201325600663
"67_145B_4","145B","OA","67","CC","67_145B",4,6.9602,0.2641,0.2641,1.07243339856088,1.04552652414885
"67_145B_5","145B","OA","67","CC","67_145B",5,7.5738,0.2763,0.2763,1.15740974212034,1.11546225272507
"152B_154C_1","154C","OA","152B","OA","152B_154C",1,8.1827,0.3022,0.3022,0.995910568017234,1.07277245296415
"152B_154C_2","154C","OA","152B","OA","152B_154C",2,8.09225,0.2998,0.2998,0.948586600397381,0.996675531914893
"152B_154C_3","154C","OA","152B","OA","152B_154C",3,7.84345,0.2943,0.2943,0.994680041595861,1.05144694533762
"152B_154C_4","154C","OA","152B","OA","152B_154C",4,8.12729999999999,0.2999,0.2999,1.05563745705583,1.07414040114613
"152B_154C_5","154C","OA","152B","OA","152B_154C",5,8.25975,0.3079,0.3079,1.06813787930711,1.08991150442478
"147A_154C_1","154C","OA","147A","OC","147A_154C",1,7.55525,0.3039,0.3039,1.29816407357452,1.3500666370502
"147A_154C_2","154C","OA","147A","OC","147A_154C",2,8.02205,0.318,0.318,1.40418697870627,1.44545454545455
"147A_154C_3","154C","OA","147A","OC","147A_154C",3,7.8092,0.3022,0.3022,1.3821592920354,1.40297121634169
"147A_154C_4","154C","OA","147A","OC","147A_154C",4,7.5959,0.3004,0.3004,1.28266871554133,1.43115769414007
"147A_154C_5","154C","OA","147A","OC","147A_154C",5,8.24775,0.3227,0.3227,1.43074601233379,1.51644736842105
"137B_154C_1","154C","OA","137B","OA","137B_154C",1,7.58455,0.287,0.287,1.28881544291322,1.3015873015873
"137B_154C_2","154C","OA","137B","OA","137B_154C",2,7.9352,0.3037,0.3037,1.31766893883414,1.34977777777778
"137B_154C_3","154C","OA","137B","OA","137B_154C",3,7.6686,0.3078,0.3078,1.29155368421053,1.36134453781513
"137B_154C_4","154C","OA","137B","OA","137B_154C",4,7.5683,0.3034,0.3034,1.25228340724072,1.33421284080915
"137B_154C_5","154C","OA","137B","OA","137B_154C",5,7.28164999999999,0.2958,0.2958,1.12185032546316,1.29907773386034
"158_154C_1","154C","OA","158","OC","158_154C",1,5.2416,0.2471,0.2471,0.932304080253281,1.18003820439351
"158_154C_2","154C","OA","158","OC","158_154C",2,5.01965,0.2387,0.2387,0.798315786125513,1.12171052631579
"158_154C_3","154C","OA","158","OC","158_154C",3,6.08105,0.2457,0.2457,1.02882931657263,1.15896226415094
"158_154C_4","154C","OA","158","OC","158_154C",4,5.417,0.2355,0.2355,0.869739736364658,1.07928505957837
"158_154C_5","154C","OA","158","OC","158_154C",5,6.18624999999999,0.2615,0.2615,0.896863424499647,1.17212012550426
"152A_154C_1","154C","OA","152A","OA","152A_154C",1,7.33265,0.2769,0.2769,1.22660588825694,1.21022727272727
"152A_154C_2","154C","OA","152A","OA","152A_154C",2,7.3987,0.2909,0.2909,1.16913571468076,1.22073017205204
"152A_154C_3","154C","OA","152A","OA","152A_154C",3,7.80345,0.3159,0.3159,1.24870184422131,1.3770706190061
"152A_154C_4","154C","OA","152A","OA","152A_154C",4,7.79195,0.3132,0.3132,1.17621441294569,1.25783132530121
"152A_154C_5","154C","OA","152A","OA","152A_154C",5,8.3403,0.3214,0.3214,1.27805999310424,1.32154605263158
"170C_154C_1","154C","OA","170C","OC","170C_154C",1,6.91325,0.2923,0.2923,1.34635234088962,1.36206896551724
"170C_154C_2","154C","OA","170C","OC","170C_154C",2,7.228,0.2975,0.2975,1.25139587427176,1.28899480069324
"170C_154C_3","154C","OA","170C","OC","170C_154C",3,6.99025,0.2845,0.2845,1.52001609115421,1.41121031746032
"170C_154C_4","154C","OA","170C","OC","170C_154C",4,5.797,0.2696,0.2696,1.13182865398883,1.26513374002816
"170C_154C_5","154C","OA","170C","OC","170C_154C",5,6.25555,0.2783,0.2783,1.3263962512192,1.37026095519449
"145B_154C_1","154C","OA","145B","OA","145B_154C",1,7.93625,0.2833,0.2833,1.2526734486106,1.37124878993224
"145B_154C_2","154C","OA","145B","OA","145B_154C",2,9.17125,0.3167,0.3167,1.32259204245562,1.43954545454545
"145B_154C_3","154C","OA","145B","OA","145B_154C",3,8.31895,0.3028,0.3028,1.3900014202528,1.46138996138996
"145B_154C_4","154C","OA","145B","OA","145B_154C",4,7.75855,0.3057,0.3057,1.19427533499065,1.43858823529412
"145B_154C_5","154C","OA","145B","OA","145B_154C",5,8.53965,0.316,0.316,1.42698516141969,1.56979632389468
"157B_154C_1","154C","OA","157B","OC","157B_154C",1,6.0815,0.2702,0.2702,1.03522823024742,1.26914044152184
"157B_154C_2","154C","OA","157B","OC","157B_154C",2,5.9146,0.2575,0.2575,0.960544372355887,1.17098681218736
"157B_154C_3","154C","OA","157B","OC","157B_154C",3,5.8226,0.2518,0.2518,0.957885039318264,1.16466234967623
"157B_154C_4","154C","OA","157B","OC","157B_154C",4,6.2086,0.2539,0.2539,0.997838333025288,1.19764150943396
"157B_154C_5","154C","OA","157B","OC","157B_154C",5,7.48705,0.2684,0.2684,1.30634411041125,1.29224843524314
"154C_154C_1","154C","OA","154C","OA","154C_154C",1,5.8967,0.2643,0.2643,1,1
"154C_154C_2","154C","OA","154C","OA","154C_154C",2,5.66655,0.2664,0.2664,1,1
"154C_154C_3","154C","OA","154C","OA","154C_154C",3,4.91355,0.2356,0.2356,1,1
"154C_154C_4","154C","OA","154C","OA","154C_154C",4,5.8276,0.2564,0.2564,1,1
"154C_154C_5","154C","OA","154C","OA","154C_154C",5,5.3726,0.2542,0.2542,1,1
"165A_154C_1","154C","OA","165A","OC","165A_154C",1,6.6908,0.2582,0.2582,0.934280068980444,1.1374449339207
"165A_154C_2","154C","OA","165A","OC","165A_154C",2,7.37525,0.2607,0.2607,1.06370473999611,1.1969696969697
"165A_154C_3","154C","OA","165A","OC","165A_154C",3,6.774,0.2515,0.2515,0.998246363783727,1.18186090225564
"165A_154C_4","154C","OA","165A","OC","165A_154C",4,6.80065,0.2426,0.2426,1.01933554667886,1.13258636788049
"165A_154C_5","154C","OA","165A","OC","165A_154C",5,6.9445,0.2496,0.2496,1.07015448626575,1.19027181688126
"144A_154C_1","154C","OA","144A","OA","144A_154C",1,8.60175,0.3396,0.3396,1.08425875738974,1.23896388179497
"144A_154C_2","154C","OA","144A","OA","144A_154C",2,7.70705,0.322,0.322,0.951446542433352,1.19259259259259
"144A_154C_3","154C","OA","144A","OA","144A_154C",3,7.6538,0.3174,0.3174,0.964774840071849,1.24324324324324
"144A_154C_4","154C","OA","144A","OA","144A_154C",4,7.7206,0.3185,0.3185,0.949947092551124,1.18445518780216
"144A_154C_5","154C","OA","144A","OA","144A_154C",5,7.67155,0.3114,0.3114,0.95590873975129,1.18854961832061
"122A_154C_1","154C","OA","122A","OC","122A_154C",1,6.278,0.2779,0.2779,0.992427954915507,1.25462753950339
"122A_154C_2","154C","OA","122A","OC","122A_154C",2,6.2484,0.2712,0.2712,0.981912469552919,1.19471365638767
"122A_154C_3","154C","OA","122A","OC","122A_154C",3,6.70445,0.2741,0.2741,1.02263558087568,1.23859014911884
"122A_154C_4","154C","OA","122A","OC","122A_154C",4,6.575,0.2739,0.2739,1.04402365924338,1.20927152317881
"122A_154C_5","154C","OA","122A","OC","122A_154C",5,6.36684999999999,0.2748,0.2748,1.00374422600936,1.18295307791649
"149A_154C_1","154C","OA","149A","OE","149A_154C",1,6.8358,0.2776,0.2776,1.06212758023291,1.23322967569969
"149A_154C_2","154C","OA","149A","OE","149A_154C",2,6.62775,0.2751,0.2751,1.05704898685018,1.21403353927626
"149A_154C_3","154C","OA","149A","OE","149A_154C",3,6.3671,0.27,0.27,0.983275164468604,1.1617900172117
"149A_154C_4","154C","OA","149A","OE","149A_154C",4,6.54,0.2795,0.2795,1.0562356665267,1.20630125161847
"149A_154C_5","154C","OA","149A","OE","149A_154C",5,6.5006,0.2684,0.2684,1.11037851872096,1.31633153506621
"41_154C_1","154C","OA","41","CC","41_154C",1,5.9706,0.2642,0.2642,0.959332872728442,1.17631344612645
"41_154C_2","154C","OA","41","CC","41_154C",2,6.068,0.2531,0.2531,0.982433416983728,1.1258896797153
"41_154C_3","154C","OA","41","CC","41_154C",3,6.13350000000001,0.2538,0.2538,0.911780227294689,1.04876033057851
"41_154C_4","154C","OA","41","CC","41_154C",4,6.2999,0.2645,0.2645,0.881548751819098,1.01848286484405
"41_154C_5","154C","OA","41","CC","41_154C",5,6.1687,0.2542,0.2542,0.944150238765765,1.06493506493506
"126B_154C_1","154C","OA","126B","OC","126B_154C",1,6.26585,0.2434,0.2434,0.895870120028881,1.00288421920066
"126B_154C_2","154C","OA","126B","OC","126B_154C",2,5.9093,0.2446,0.2446,0.994898646373494,1.01367592208869
"126B_154C_3","154C","OA","126B","OC","126B_154C",3,5.804,0.2482,0.2482,1.01292332393825,1.05169491525424
"126B_154C_4","154C","OA","126B","OC","126B_154C",4,5.71325,0.2476,0.2476,0.972774405557495,1.03166666666667
"126B_154C_5","154C","OA","126B","OC","126B_154C",5,5.75965,0.253,0.253,0.979140989570495,1.06751054852321
"53_154C_1","154C","OA","53","CC","53_154C",1,6.71775,0.3007,0.3007,0.942128071356446,1.22037337662338
"53_154C_2","154C","OA","53","CC","53_154C",2,6.73745,0.2989,0.2989,0.954103560832963,1.22600492206727
"53_154C_3","154C","OA","53","CC","53_154C",3,7.08425,0.2974,0.2974,1.01243345600057,1.24748322147651
"53_154C_4","154C","OA","53","CC","53_154C",4,7.39524999999999,0.3113,0.3113,0.979912148777303,1.20332431387708
"53_154C_5","154C","OA","53","CC","53_154C",5,7.36595,0.3098,0.3098,0.988048369896916,1.20685625243475
"135B_154C_1","154C","OA","135B","OE","135B_154C",1,7.29165,0.3008,0.3008,1.25988544375427,1.25281132861308
"135B_154C_2","154C","OA","135B","OE","135B_154C",2,6.86195,0.2931,0.2931,1.14629481139955,1.20369609856263
"135B_154C_3","154C","OA","135B","OE","135B_154C",3,6.51985,0.2871,0.2871,1.08109206075479,1.16376165383056
"135B_154C_4","154C","OA","135B","OE","135B_154C",4,6.44715,0.2889,0.2889,0.98561437034206,1.11587485515643
"135B_154C_5","154C","OA","135B","OE","135B_154C",5,7.11035,0.3091,0.3091,1.22309663880001,1.2804473902237
"57_154C_1","154C","OA","57","CC","57_154C",1,5.84925,0.2518,0.2518,1.0260492040521,1.09288194444444
"57_154C_2","154C","OA","57","CC","57_154C",2,6.3177,0.2785,0.2785,1.64937929954182,1.5576062639821
"57_154C_3","154C","OA","57","CC","57_154C",3,6.0165,0.2799,0.2799,1.06190707320302,1.26996370235935
"57_154C_4","154C","OA","57","CC","57_154C",4,4.7863,0.2199,0.2199,0.808093939675331,0.940949935815148
"57_154C_5","154C","OA","57","CC","57_154C",5,5.1237,0.2209,0.2209,0.744745486787406,0.871056782334385
"135A_154C_1","154C","OA","135A","OE","135A_154C",1,6.8896,0.2626,0.2626,1.17116290138882,1.33706720977597
"135A_154C_2","154C","OA","135A","OE","135A_154C",2,6.54565,0.262,0.262,1.13576658800666,1.31131131131131
"135A_154C_3","154C","OA","135A","OE","135A_154C",3,6.9626,0.2621,0.2621,1.22558329886201,1.35382231404959
"135A_154C_4","154C","OA","135A","OE","135A_154C",4,7.0813,0.2641,0.2641,1.32327356648322,1.25821819914245
"135A_154C_5","154C","OA","135A","OE","135A_154C",5,6.5058,0.26,0.26,1.1173263033155,1.252408477842
"77_154C_1","154C","OA","77","CC","77_154C",1,6.9878,0.3139,0.3139,0.942552301819604,1.18811506434519
"77_154C_2","154C","OA","77","CC","77_154C",2,7.4093,0.3148,0.3148,0.982652749963528,1.19017013232514
"77_154C_3","154C","OA","77","CC","77_154C",3,7.21865,0.3132,0.3132,0.975335080797709,1.19359756097561
"77_154C_4","154C","OA","77","CC","77_154C",4,7.22135,0.3098,0.3098,0.950490292859493,1.15038989974007
"77_154C_5","154C","OA","77","CC","77_154C",5,7.97784999999999,0.3155,0.3155,0.910396494371253,1.14519056261343
"159_154C_1","154C","OA","159","OE","159_154C",1,8.2807,0.3056,0.3056,1.13585174821338,1.28457335014712
"159_154C_2","154C","OA","159","OE","159_154C",2,7.9443,0.3016,0.3016,1.06223550412162,1.22105263157895
"159_154C_3","154C","OA","159","OE","159_154C",3,7.1382,0.2848,0.2848,0.944687440032291,1.12702809655718
"159_154C_4","154C","OA","159","OE","159_154C",4,7.62425,0.3006,0.3006,1.02572985335665,1.23856613102596
"159_154C_5","154C","OA","159","OE","159_154C",5,7.5598,0.2974,0.2974,1.0227486420488,1.21586263286999
"74_154C_1","154C","OA","74","CC","74_154C",1,7.7265,0.341,0.341,1.09299627958297,1.1935596779839
"74_154C_2","154C","OA","74","CC","74_154C",2,6.5499,0.3169,0.3169,0.919264857581946,1.12057991513437
"74_154C_3","154C","OA","74","CC","74_154C",3,7.0487,0.3278,0.3278,0.965562115587457,1.1546319126453
"74_154C_4","154C","OA","74","CC","74_154C",4,7.66515,0.3307,0.3307,1.06220682487442,1.14231433506045
"74_154C_5","154C","OA","74","CC","74_154C",5,8.22055,0.3403,0.3403,1.01675303954187,1.16861263736264
"168A_154C_1","154C","OA","168A","OE","168A_154C",1,8.13755,0.2981,0.2981,2.53037205180429,2.22628827483196
"168A_154C_2","154C","OA","168A","OE","168A_154C",2,8.09995,0.3023,0.3023,2.61284495411364,2.30587337909992
"168A_154C_3","154C","OA","168A","OE","168A_154C",3,8.1091,0.3044,0.3044,2.36976533504778,2.22840409956076
"168A_154C_4","154C","OA","168A","OE","168A_154C",4,7.858,0.2912,0.2912,2.42179554350171,2.3001579778831
"168A_154C_5","154C","OA","168A","OE","168A_154C",5,7.96095,0.2941,0.2941,2.39932188065099,2.30485893416928
"67_154C_1","154C","OA","67","CC","67_154C",1,7.8687,0.3292,0.3292,1.25855905568484,1.2637236084453
"67_154C_2","154C","OA","67","CC","67_154C",2,7.6104,0.3251,0.3251,1.26923558009023,1.35854575846218
"67_154C_3","154C","OA","67","CC","67_154C",3,7.9451,0.3384,0.3384,1.29906801831262,1.40182270091135
"67_154C_4","154C","OA","67","CC","67_154C",4,7.9487,0.3263,0.3263,1.22474229981048,1.29176563737134
"67_154C_5","154C","OA","67","CC","67_154C",5,7.80615,0.3104,0.3104,1.19291690544413,1.25312878482035
"152B_144A_1","144A","OA","152B","OA","152B_144A",1,7.4076,0.2523,0.2523,0.901573701057654,0.895633652822151
"152B_144A_2","144A","OA","152B","OA","152B_144A",2,7.22745,0.2449,0.2449,0.847213349197324,0.814162234042553
"152B_144A_3","144A","OA","152B","OA","152B_144A",3,6.43595,0.2303,0.2303,0.81618560884673,0.822793854948196
"152B_144A_4","144A","OA","152B","OA","152B_144A",4,6.31455,0.2284,0.2284,0.820183271744848,0.818051575931232
"152B_144A_5","144A","OA","152B","OA","152B_144A",5,6.2097,0.2241,0.2241,0.80302863756571,0.793274336283186
"147A_144A_1","144A","OA","147A","OC","147A_144A",1,5.6733,0.2271,0.2271,0.974802189022242,1.00888494002665
"147A_144A_2","144A","OA","147A","OC","147A_144A",2,5.6706,0.2259,0.2259,0.992587017215273,1.02681818181818
"147A_144A_3","144A","OA","147A","OC","147A_144A",3,6.05245,0.228,0.228,1.07123008849558,1.05849582172702
"147A_144A_4","144A","OA","147A","OC","147A_144A",4,6.6028,0.2484,0.2484,1.11497057557055,1.18342067651263
"147A_144A_5","144A","OA","147A","OC","147A_144A",5,6.7144,0.2429,0.2429,1.16475414812694,1.14144736842105
"137B_144A_1","144A","OA","137B","OA","137B_144A",1,7.4349,0.2337,0.2337,1.26338595388197,1.05986394557823
"137B_144A_2","144A","OA","137B","OA","137B_144A",2,7.1028,0.2301,0.2301,1.17944587896349,1.02266666666667
"137B_144A_3","144A","OA","137B","OA","137B_144A",3,7.3045,0.2359,0.2359,1.23023157894737,1.04334365325077
"137B_144A_4","144A","OA","137B","OA","137B_144A",4,7.55255,0.2376,0.2376,1.24967734462903,1.04485488126649
"137B_144A_5","144A","OA","137B","OA","137B_144A",5,6.8929,0.2239,0.2239,1.06195740091669,0.983311374615722
"158_144A_1","144A","OA","158","OC","158_144A",1,6.3903,0.2187,0.2187,1.13661911707161,1.04441260744986
"158_144A_2","144A","OA","158","OC","158_144A",2,6.61135,0.2178,0.2178,1.05145678933808,1.0234962406015
"158_144A_3","144A","OA","158","OC","158_144A",3,6.3145,0.208,0.208,1.06832581864939,0.981132075471698
"158_144A_4","144A","OA","158","OC","158_144A",4,6.80255000000001,0.2183,0.2183,1.09220011881252,1.00045829514207
"158_144A_5","144A","OA","158","OC","158_144A",5,6.8632,0.2172,0.2172,0.9950055453669,0.97355445988346
"152A_144A_1","144A","OA","152A","OA","152A_144A",1,7.00575,0.2371,0.2371,1.17192204750753,1.03627622377622
"152A_144A_2","144A","OA","152A","OA","152A_144A",2,6.8276,0.2377,0.2377,1.07889102214637,0.997482165337809
"152A_144A_3","144A","OA","152A","OA","152A_144A",3,6.59775,0.2364,0.2364,1.05576669200304,1.0305143853531
"152A_144A_4","144A","OA","152A","OA","152A_144A",4,6.9957,0.243,0.243,1.05601847658727,0.975903614457831
"152A_144A_5","144A","OA","152A","OA","152A_144A",5,6.8406,0.2394,0.2394,1.04824732789335,0.984375
