"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"165A_144A_1","144A","OA","165A","OC","165A_144A",1,6.735,0.2185,0.2185,0.00374166666666667,24,0.063,0.940452003435059,0.962555066079295,0.923393316195373
"165A_144A_2","144A","OA","165A","OC","165A_144A",2,6.22715,0.207,0.207,0.00353541666666667,24,0.0556,0.898118568410121,0.950413223140496,0.910407725321888
"165A_144A_3","144A","OA","165A","OC","165A_144A",3,6.58180000000001,0.213,0.213,0.00367708333333333,24,0.0627,0.969922928425117,1.00093984962406,0.965536105032823
"165A_144A_4","144A","OA","165A","OC","165A_144A",4,6.43495,0.2089,0.2089,0.0035625,24,0.0629,0.964521520163678,0.975256769374417,0.973804100227791
"165A_144A_5","144A","OA","165A","OC","165A_144A",5,5.92315,0.2046,0.2046,0.00332083333333333,24,0.0523,0.912763416419463,0.975679542203147,0.893998878295009
"144A_144A_1","144A","OA","144A","OA","144A_144A",1,7.9333,0.2741,0.2741,0.00464791666666667,24,0.0613,1,1,1
"144A_144A_2","144A","OA","144A","OA","144A_144A",2,8.10035,0.27,0.27,0.00457291666666667,24,0.071,1,1,1
"144A_144A_3","144A","OA","144A","OA","144A_144A",3,7.93325,0.2553,0.2553,0.00444791666666667,24,0.0726,1,1,1
"144A_144A_4","144A","OA","144A","OA","144A_144A",4,8.1274,0.2689,0.2689,0.004475,24,0.0734,1,1,1
"144A_144A_5","144A","OA","144A","OA","144A_144A",5,8.0254,0.262,0.262,0.0044125,24,0.0758,1,1,1
"122A_144A_1","144A","OA","122A","OC","122A_144A",1,6.3872,0.2183,0.2183,0.0034875,24,0.0696,1.00969032074487,0.985553047404063,0.962068965517242
"122A_144A_2","144A","OA","122A","OC","122A_144A",2,6.2195,0.2132,0.2132,0.00345,24,0.065,0.977370943663078,0.93920704845815,0.9419795221843
"122A_144A_3","144A","OA","122A","OC","122A_144A",3,6.69125,0.2194,0.2194,0.00357708333333333,24,0.0766,1.02062217341235,0.991414369633981,0.98282770463652
"122A_144A_4","144A","OA","122A","OC","122A_144A",4,6.37655,0.2163,0.2163,0.00357291666666667,24,0.0708,1.01251240522409,0.954966887417219,0.987334484743811
"122A_144A_5","144A","OA","122A","OC","122A_144A",5,6.7338,0.2264,0.2264,0.00377083333333333,24,0.0722,1.06159448849931,0.974601808006888,1.01457399103139
"149A_144A_1","144A","OA","149A","OE","149A_144A",1,6.61325,0.2141,0.2141,0.00365625,24,0.0586,1.02754838058096,0.951132829853399,1.00630733944954
"149A_144A_2","144A","OA","149A","OE","149A_144A",2,6.4142,0.2171,0.2171,0.0037375,24,0.0484,1.0229902472867,0.958075904677847,1.02455739577384
"149A_144A_3","144A","OA","149A","OE","149A_144A",3,6.18325,0.2225,0.2225,0.00385833333333333,48,0.1784,0.954883096024956,0.957401032702238,1.03928170594837
"149A_144A_4","144A","OA","149A","OE","149A_144A",4,6.1175,0.2098,0.2098,0.00360833333333333,24,0.0434,0.988000258406279,0.905481225722918,0.941304347826087
"149A_144A_5","144A","OA","149A","OE","149A_144A",5,6.2988,0.2142,0.2142,0.0036,24,0.0492,1.07590871822902,1.0505149583129,1.06469500924214
"41_144A_1","144A","OA","41","CC","41_144A",1,5.64225,0.2054,0.2054,0.00345208333333333,48,0.1594,0.906574867040506,0.914514692787177,0.98105387803434
"41_144A_2","144A","OA","41","CC","41_144A",2,5.9268,0.2111,0.2111,0.00345208333333333,24,0.0481,0.959572573463936,0.939056939501779,0.984551396316102
"41_144A_3","144A","OA","41","CC","41_144A",3,6.11515,0.216,0.216,0.00354583333333333,24,0.0499,0.909052393729699,0.892561983471074,0.931581828133552
"41_144A_4","144A","OA","41","CC","41_144A",4,5.88285,0.2141,0.2141,0.00349375,48,0.1645,0.823190697414083,0.824412783981517,0.878010471204189
"41_144A_5","144A","OA","41","CC","41_144A",5,5.79124999999999,0.2047,0.2047,0.00345833333333333,24,0.0421,0.886379637565813,0.857561793045664,0.973036342321219
"126B_144A_1","144A","OA","126B","OC","126B_144A",1,6.11725,0.1934,0.1934,0.00337916666666667,24,0.0589,0.874623792741076,0.796868562010713,0.846997389033943
"126B_144A_2","144A","OA","126B","OC","126B_144A",2,5.3083,0.1928,0.1928,0.00327291666666667,48,0.1517,0.893713381372483,0.799005387484459,0.735142723444081
"126B_144A_3","144A","OA","126B","OC","126B_144A",3,5.54305,0.198,0.198,0.00328333333333333,48,0.1567,0.967381914327351,0.838983050847458,0.752267303102626
"126B_144A_4","144A","OA","126B","OC","126B_144A",4,5.41515,0.1918,0.1918,0.0031875,48,0.1529,0.922017997156551,0.799166666666667,0.727878211227403
"126B_144A_5","144A","OA","126B","OC","126B_144A",5,5.53515,0.1937,0.1937,0.00324583333333333,24,0.0417,0.940975970487985,0.817299578059072,0.754114230396902
"53_144A_1","144A","OA","53","CC","53_144A",1,6.9708,0.2435,0.2435,0.00403333333333333,24,0.0578,0.97761696398519,0.988230519480519,0.962226640159046
"53_144A_2","144A","OA","53","CC","53_144A",2,6.94295,0.2387,0.2387,0.0039875,24,0.0589,0.983204820471428,0.979081214109926,0.978027593254982
"53_144A_3","144A","OA","53","CC","53_144A",3,7.23175,0.2452,0.2452,0.0041125,24,0.0631,1.0335131658866,1.02852348993289,1.02015503875969
"53_144A_4","144A","OA","53","CC","53_144A",4,7.20665,0.2435,0.2435,0.0040875,24,0.0635,0.954921589802368,0.941244684963278,0.932509505703422
"53_144A_5","144A","OA","53","CC","53_144A",5,6.9586,0.2374,0.2374,0.00395,24,0.056,0.933407555952006,0.924814959096221,0.90414878397711
"135B_144A_1","144A","OA","135B","OE","135B_144A",1,7.3247,0.2572,0.2572,0.00413958333333333,24,0.0599,1.26559597757255,1.07122032486464,0.949354992833253
"135B_144A_2","144A","OA","135B","OE","135B_144A",2,7.27264999999999,0.2566,0.2566,0.00417083333333333,24,0.0581,1.2149026093348,1.05379876796715,0.954242135367016
"135B_144A_3","144A","OA","135B","OE","135B_144A",3,6.94995,0.2544,0.2544,0.00425833333333333,48,0.1941,1.15240929893215,1.0312119983786,0.960075152653828
"135B_144A_4","144A","OA","135B","OE","135B_144A",4,7.2057,0.2622,0.2622,0.0043625,48,0.201,1.10157844448691,1.01274623406721,0.962758620689655
"135B_144A_5","144A","OA","135B","OE","135B_144A",5,7.52915,0.2621,0.2621,0.004275,24,0.0611,1.29513709705164,1.0857497928749,0.968381311939594
"57_144A_1","144A","OA","57","CC","57_144A",1,6.1315,0.2268,0.2268,0.00373125,48,0.1693,1.07556023330264,0.984375,0.935736677115988
"57_144A_2","144A","OA","57","CC","57_144A",2,7.00605,0.2448,0.2448,0.003975,24,0.0603,1.82908872557338,1.36912751677852,1.18435754189944
"57_144A_3","144A","OA","57","CC","57_144A",3,5.56505,0.2176,0.2176,0.00386041666666667,48,0.16,0.982226536645634,0.987295825771325,1.02773155851359
"57_144A_4","144A","OA","57","CC","57_144A",4,6.44845,0.2371,0.2371,0.00392083333333333,48,0.1776,1.08872268042107,1.0145485665383,0.960204081632653
"57_144A_5","144A","OA","57","CC","57_144A",5,5.95405,0.2242,0.2242,0.00388958333333333,48,0.1668,0.865439402308206,0.884069400630915,0.938190954773869
"135A_144A_1","144A","OA","135A","OE","135A_144A",1,6.01805,0.188,0.188,0.003525,24,0.0499,1.02300814251959,0.957230142566191,1.05948653725736
"135A_144A_2","144A","OA","135A","OE","135A_144A",2,6.21335,0.1965,0.1965,0.00357291666666667,24,0.0512,1.0781076485286,0.983483483483483,1.13726790450928
"135A_144A_3","144A","OA","135A","OE","135A_144A",3,5.93815,0.1909,0.1909,0.00345,24,0.0475,1.04525571857315,0.986053719008264,1.1219512195122
"135A_144A_4","144A","OA","135A","OE","135A_144A",4,5.84845,0.1881,0.1881,0.00348958333333333,24,0.0458,1.09289244770011,0.896141019533111,0.974970896391153
"135A_144A_5","144A","OA","135A","OE","135A_144A",5,6.5079,0.1948,0.1948,0.00364791666666667,24,0.0619,1.11768696383949,0.938342967244702,1.16037110669317
"77_144A_1","144A","OA","77","CC","77_144A",1,6.96605,0.2491,0.2491,0.0041625,48,0.1972,0.939618544046833,0.942846328538986,0.965683905268245
"77_144A_2","144A","OA","77","CC","77_144A",2,6.75995,0.2451,0.2451,0.00411458333333333,48,0.1919,0.896533202477421,0.926654064272212,0.941821649976156
"77_144A_3","144A","OA","77","CC","77_144A",3,6.31155,0.2317,0.2317,0.00397708333333333,48,0.1823,0.852773874506836,0.883003048780488,0.926249393498302
"77_144A_4","144A","OA","77","CC","77_144A",4,6.2553,0.2308,0.2308,0.00401041666666667,48,0.1799,0.823336623889437,0.857036761975492,0.895765472312704
"77_144A_5","144A","OA","77","CC","77_144A",5,5.9796,0.2229,0.2229,0.00393333333333333,48,0.1713,0.682365158249697,0.809074410163339,0.861706983112734
"159_144A_1","144A","OA","159","OE","159_144A",1,6.4798,0.2367,0.2367,0.00414375,48,0.19,0.888824876891212,0.994955863808323,1.00759878419453
"159_144A_2","144A","OA","159","OE","159_144A",2,6.3543,0.2311,0.2311,0.00397291666666667,48,0.1808,0.849635973445116,0.935627530364373,0.995302713987474
"159_144A_3","144A","OA","159","OE","159_144A",3,5.79245,0.216,0.216,0.00388958333333333,48,0.173,0.766587481720188,0.854768500197863,0.977998952331063
"159_144A_4","144A","OA","159","OE","159_144A",4,6.04345,0.2161,0.2161,0.00375416666666667,48,0.177,0.81305663931118,0.890399670374949,0.940501043841336
"159_144A_5","144A","OA","159","OE","159_144A",5,6.5466,0.2299,0.2299,0.00383541666666667,24,0.0477,0.88567505225491,0.939901880621423,0.966404199475066
"74_144A_1","144A","OA","74","CC","74_144A",1,6.40945,0.256,0.256,0.00455833333333333,48,0.1887,0.906685433789309,0.896044802240112,0.939055793991416
"74_144A_2","144A","OA","74","CC","74_144A",2,6.8932,0.2557,0.2557,0.00428541666666667,48,0.1962,0.967446299376154,0.904172560113154,0.913816081741448
"74_144A_3","144A","OA","74","CC","74_144A",3,6.9761,0.2546,0.2546,0.00427083333333333,48,0.1986,0.955617046341831,0.896794646002114,0.908687943262412
"74_144A_4","144A","OA","74","CC","74_144A",4,6.59800000000001,0.2424,0.2424,0.0040625,48,0.1846,0.91432530746579,0.837305699481865,0.828025477707006
"74_144A_5","144A","OA","74","CC","74_144A",5,6.4329,0.2348,0.2348,0.00389375,48,0.1759,0.795648786038516,0.806318681318681,0.877876937529356
"168A_144A_1","144A","OA","168A","OE","168A_144A",1,4.40745,0.1644,0.1644,0.00274583333333333,48,0.1197,1.37049705374773,1.22778192681105,1.10016694490818
"168A_144A_2","144A","OA","168A","OE","168A_144A",2,4.1996,0.1575,0.1575,0.0027,48,0.1163,1.35468782761568,1.20137299771167,1.09923664122137
"168A_144A_3","144A","OA","168A","OE","168A_144A",3,3.9246,0.146,0.146,0.00255625,48,0.1099,1.1469066892662,1.0688140556369,1.00327064595258
"168A_144A_4","144A","OA","168A","OE","168A_144A",4,3.7375,0.1385,0.1385,0.00244791666666667,48,0.1046,1.15187844793047,1.09399684044234,1.01731601731602
"168A_144A_5","144A","OA","168A","OE","168A_144A",5,3.75185,0.1406,0.1406,0.00245625,48,0.1044,1.13075647980711,1.10188087774295,1.019014693172
"67_144A_1","144A","OA","67","CC","67_144A",1,6.26955,0.2284,0.2284,0.00377291666666667,48,0.176,1.00278304263333,0.876775431861804,0.833410032213529
"67_144A_2","144A","OA","67","CC","67_144A",2,6.4299,0.2289,0.2289,0.0037125,24,0.0554,1.07235596767872,0.95653990806519,0.929092805005213
"67_144A_3","144A","OA","67","CC","67_144A",3,6.3969,0.2249,0.2249,0.00370208333333333,24,0.0547,1.04592871157619,0.931648715824358,0.931341719077568
"67_144A_4","144A","OA","67","CC","67_144A",4,6.5109,0.2236,0.2236,0.00367916666666667,24,0.056,1.00320488128072,0.885193982581156,0.887437185929648
"67_144A_5","144A","OA","67","CC","67_144A",5,6.2373,0.2262,0.2262,0.00370833333333333,48,0.1752,0.953169054441261,0.913201453371013,0.903553299492386
"152B_147A_1","147A","OC","152B","OA","152B_147A",1,8.2486,0.2607,0.2607,0.00448958333333333,24,0.0859,1.003931209912,0.925452609158679,1.11948051948052
"152B_147A_2","147A","OC","152B","OA","152B_147A",2,7.35460000000001,0.2436,0.2436,0.00419583333333333,24,0.0662,0.862118077331099,0.809840425531915,0.975775193798449
"152B_147A_3","147A","OC","152B","OA","152B_147A",3,6.83525,0.2341,0.2341,0.00405208333333333,24,0.0532,0.866823496588632,0.836370132190068,0.956714215445155
"152B_147A_4","147A","OC","152B","OA","152B_147A",4,6.49315,0.2298,0.2298,0.00394583333333333,24,0.0463,0.843381240299001,0.823065902578797,0.922552362396493
"152B_147A_5","147A","OC","152B","OA","152B_147A",5,7.18325,0.2334,0.2334,0.00414791666666667,24,0.066,0.928926592394783,0.826194690265487,0.969328140214216
"147A_147A_1","147A","OC","147A","OC","147A_147A",1,5.81995,0.2251,0.2251,0.00388958333333333,48,0.1731,1,1,1
"147A_147A_2","147A","OC","147A","OC","147A_147A",2,5.71295,0.22,0.22,0.00383125,48,0.1732,1,1,1
"147A_147A_3","147A","OC","147A","OC","147A_147A",3,5.65,0.2154,0.2154,0.00373125,48,0.1705,1,1,1
"147A_147A_4","147A","OC","147A","OC","147A_147A",4,5.92195,0.2099,0.2099,0.00371041666666667,24,0.0422,1,1,1
"147A_147A_5","147A","OC","147A","OC","147A_147A",5,5.76465,0.2128,0.2128,0.00364791666666667,48,0.173,1,1,1
"137B_147A_1","147A","OC","137B","OA","137B_147A",1,6.61815,0.2227,0.2227,0.00388541666666667,24,0.0558,1.12459854882836,1.00997732426304,1.00539083557951
"137B_147A_2","147A","OC","137B","OA","137B_147A",2,6.8166,0.2177,0.2177,0.00390833333333333,24,0.0654,1.13192132377971,0.967555555555556,0.997872340425532
"137B_147A_3","147A","OC","137B","OA","137B_147A",3,6.9011,0.2231,0.2231,0.0039,24,0.0668,1.16229052631579,0.986731534719151,0.959016393442623
"137B_147A_4","147A","OC","137B","OA","137B_147A",4,6.56795,0.2182,0.2182,0.00378958333333333,24,0.0594,1.08676120193262,0.959542656112577,0.950862519602719
"137B_147A_5","147A","OC","137B","OA","137B_147A",5,6.41885,0.2142,0.2142,0.00374791666666667,24,0.0564,0.988922697685167,0.940711462450593,0.993922651933702
"158_147A_1","147A","OC","158","OC","158_147A",1,4.97155,0.1992,0.1992,0.00357291666666667,48,0.154,0.884271281704671,0.951289398280802,1.08338597599495
"158_147A_2","147A","OC","158","OC","158_147A",2,5.12355,0.2013,0.2013,0.00353333333333333,48,0.1554,0.814839848595693,0.945958646616541,1.00058997050147
"158_147A_3","147A","OC","158","OC","158_147A",3,5.0581,0.2011,0.2011,0.00350833333333333,48,0.1521,0.855760364765296,0.948584905660377,1.03186274509804
"158_147A_4","147A","OC","158","OC","158_147A",4,5.24475,0.207,0.207,0.00359375,48,0.1572,0.84208371465729,0.948670944087993,1.01291837933059
"158_147A_5","147A","OC","158","OC","158_147A",5,5.96025,0.2107,0.2107,0.00353541666666667,24,0.0524,0.864098642291215,0.944419542805917,0.896460644479662
"152A_147A_1","147A","OC","152A","OA","152A_147A",1,6.96035,0.2417,0.2417,0.0040625,24,0.0561,1.16432753429241,1.05638111888112,0.998463901689708
"152A_147A_2","147A","OC","152A","OA","152A_147A",2,6.87345,0.2339,0.2339,0.00400208333333333,24,0.058,1.08613619663893,0.981535879143936,0.974137931034483
"152A_147A_3","147A","OC","152A","OA","152A_147A",3,6.9045,0.2352,0.2352,0.00406875,24,0.0589,1.10485258230988,1.02528334786399,0.933110367892977
"152A_147A_4","147A","OC","152A","OA","152A_147A",4,7.10325,0.2396,0.2396,0.00410833333333333,24,0.0627,1.07225341907436,0.962248995983936,0.954039671020803
"152A_147A_5","147A","OC","152A","OA","152A_147A",5,6.2116,0.2241,0.2241,0.00381458333333333,24,0.0423,0.951859939470558,0.921463815789474,0.875239005736138
"170C_147A_1","147A","OC","170C","OC","170C_147A",1,5.29805,0.2168,0.2168,0.0038875,48,0.1593,1.03179286437641,1.01025163094129,1.01523394994559
"170C_147A_2","147A","OC","170C","OC","170C_147A",2,5.8834,0.2312,0.2312,0.00394583333333333,48,0.173,1.01860300037223,1.00173310225303,1.00637619553666
"170C_147A_3","147A","OC","170C","OC","170C_147A",3,5.35235,0.2169,0.2169,0.00383541666666667,48,0.1607,1.16385796294686,1.07589285714286,1.02164261931188
"170C_147A_4","147A","OC","170C","OC","170C_147A",4,6.1591,0.2275,0.2275,0.00373958333333333,48,0.1764,1.20252645554297,1.06757390896293,0.990071704357419
"170C_147A_5","147A","OC","170C","OC","170C_147A",5,5.5335,0.2177,0.2177,0.00372916666666667,48,0.1621,1.17329629786693,1.07188577055638,0.998883928571429
"145B_147A_1","147A","OC","145B","OA","145B_147A",1,4.75555,0.167,0.167,0.00289166666666667,24,0.0377,0.750625448863144,0.808325266214908,0.800461361014994
"145B_147A_2","147A","OC","145B","OA","145B_147A",2,4.8465,0.1789,0.1789,0.00299375,48,0.1412,0.698916977921348,0.813181818181818,0.777597402597403
"145B_147A_3","147A","OC","145B","OA","145B_147A",3,4.6545,0.169,0.169,0.00286666666666667,24,0.0338,0.777713727161081,0.815637065637066,0.807038123167155
"145B_147A_4","147A","OC","145B","OA","145B_147A",4,4.71075,0.1727,0.1727,0.00285416666666667,48,0.1366,0.72512680002155,0.812705882352941,0.768799102132436
"145B_147A_5","147A","OC","145B","OA","145B_147A",5,4.64235,0.17,0.17,0.00290208333333333,24,0.032,0.77574192901544,0.844510680576254,0.847323600973236
"157B_147A_1","147A","OC","157B","OC","157B_147A",1,5.97625,0.2136,0.2136,0.00362083333333333,24,0.0465,1.01731196432067,1.00328792860498,1.04825090470446
"157B_147A_2","147A","OC","157B","OC","157B_147A",2,5.8733,0.2151,0.2151,0.00352291666666667,24,0.0461,0.953837159259769,0.978171896316507,0.95753114382786
"157B_147A_3","147A","OC","157B","OC","157B_147A",3,5.70715,0.2054,0.2054,0.00344166666666667,24,0.0449,0.938892179120192,0.95004625346901,0.979253112033195
"157B_147A_4","147A","OC","157B","OC","157B_147A",4,5.6227,0.206,0.206,0.00341666666666667,48,0.1622,0.903673226669666,0.971698113207547,0.962441314553991
"157B_147A_5","147A","OC","157B","OC","157B_147A",5,6.21605,0.2193,0.2193,0.00353541666666667,24,0.0556,1.08457941479246,1.05584978334136,1.04559457794208
"154C_147A_1","147A","OC","154C","OA","154C_147A",1,4.1627,0.1595,0.1595,0.00273125,48,0.1224,0.70593721912256,0.603480892924707,0.500763941940413
"154C_147A_2","147A","OC","154C","OA","154C_147A",2,3.2631,0.1448,0.1448,0.00279375,48,0.1039,0.575853032268311,0.543543543543544,0.499441340782123
"154C_147A_3","147A","OC","154C","OA","154C_147A",3,3.0278,0.1371,0.1371,0.00262708333333333,48,0.0944,0.616214346043085,0.581918505942275,0.51469387755102
"154C_147A_4","147A","OC","154C","OA","154C_147A",4,3.82355,0.1512,0.1512,0.00266666666666667,48,0.1145,0.656110577253071,0.589703588143526,0.505928853754941
"154C_147A_5","147A","OC","154C","OA","154C_147A",5,3.08645,0.1427,0.1427,0.00277291666666667,48,0.0969,0.574479767710234,0.561369000786782,0.516692546583851
"165A_147A_1","147A","OC","165A","OC","165A_147A",1,5.2939,0.19,0.19,0.00314791666666667,48,0.1509,0.73922180563992,0.837004405286344,0.776863753213368
"165A_147A_2","147A","OC","165A","OC","165A_147A",2,5.99935,0.2018,0.2018,0.00350416666666667,24,0.0495,0.865263825890056,0.92653810835629,0.902360515021459
"165A_147A_3","147A","OC","165A","OC","165A_147A",3,6.03645,0.1957,0.1957,0.00337291666666667,24,0.057,0.889557759471846,0.919642857142857,0.885667396061269
"165A_147A_4","147A","OC","165A","OC","165A_147A",4,5.81535,0.1914,0.1914,0.00325625,24,0.0534,0.871650940921661,0.893557422969188,0.890091116173121
"165A_147A_5","147A","OC","165A","OC","165A_147A",5,5.75275,0.1847,0.1847,0.00319166666666667,24,0.0567,0.886504603767771,0.880782069623271,0.859226023555805
"144A_147A_1","147A","OC","144A","OA","144A_147A",1,5.32135,0.1919,0.1919,0.00330416666666667,24,0.0357,0.670761221685806,0.700109449106165,0.710891976692066
"144A_147A_2","147A","OC","144A","OA","144A_147A",2,5.5149,0.1961,0.1961,0.00335208333333333,24,0.0419,0.680822433598548,0.726296296296296,0.733029612756264
"144A_147A_3","147A","OC","144A","OA","144A_147A",3,5.37235,0.1897,0.1897,0.00320625,24,0.0428,0.677194088173195,0.743047395221308,0.720843091334894
"144A_147A_4","147A","OC","144A","OA","144A_147A",4,5.48165,0.1908,0.1908,0.00321041666666667,24,0.045,0.674465388685188,0.709557456303458,0.717411545623836
"144A_147A_5","147A","OC","144A","OA","144A_147A",5,5.19205,0.1896,0.1896,0.00318125,48,0.151,0.646952176838538,0.723664122137404,0.720963172804532
"122A_147A_1","147A","OC","122A","OC","122A_147A",1,6.17315,0.2197,0.2197,0.00372083333333333,24,0.0557,0.975853238274396,0.991873589164786,1.0264367816092
"122A_147A_2","147A","OC","122A","OC","122A_147A",2,6.0562,0.2207,0.2207,0.00360416666666667,24,0.0548,0.951708965192111,0.972246696035242,0.984072810011377
"122A_147A_3","147A","OC","122A","OC","122A_147A",3,6.0803,0.2116,0.2116,0.00372083333333333,24,0.056,0.927433439342288,0.956168097605061,1.02232398397252
"122A_147A_4","147A","OC","122A","OC","122A_147A",4,6.1691,0.2184,0.2184,0.00372916666666667,24,0.058,0.979572069389861,0.964238410596027,1.03051237766264
"122A_147A_5","147A","OC","122A","OC","122A_147A",5,6.40199999999999,0.2201,0.2201,0.00381458333333333,24,0.0615,1.00928568050322,0.947481704692208,1.02634529147982
"149A_147A_1","147A","OC","149A","OE","149A_147A",1,5.8013,0.2218,0.2218,0.00374166666666667,48,0.1708,0.901389849206411,0.98533984895602,1.02981651376147
"149A_147A_2","147A","OC","149A","OE","149A_147A",2,5.80535,0.2227,0.2227,0.00377916666666667,48,0.1666,0.925885758486775,0.98278905560459,1.03597944031982
"149A_147A_3","147A","OC","149A","OE","149A_147A",3,6.17795,0.2295,0.2295,0.00373958333333333,48,0.1751,0.954064613769033,0.987521514629948,1.00729517396184
"149A_147A_4","147A","OC","149A","OE","149A_147A",4,6.32925,0.227,0.227,0.00372083333333333,24,0.0545,1.02219871442876,0.979715148899439,0.970652173913044
"149A_147A_5","147A","OC","149A","OE","149A_147A",5,6.36095,0.2227,0.2227,0.00365833333333333,24,0.0579,1.08652466520907,1.09220205983325,1.08194701170672
"41_147A_1","147A","OC","41","CC","41_147A",1,5.63215,0.2086,0.2086,0.00341458333333333,48,0.1626,0.904952038176648,0.928762243989314,0.970396684428656
"41_147A_2","147A","OC","41","CC","41_147A",2,5.38515,0.2091,0.2091,0.00357291666666667,48,0.1587,0.871877276774872,0.930160142348754,1.01901366607249
"41_147A_3","147A","OC","41","CC","41_147A",3,5.9128,0.2274,0.2274,0.00377708333333333,48,0.1687,0.878971896624771,0.939669421487603,0.992337164750958
"41_147A_4","147A","OC","41","CC","41_147A",4,5.6385,0.2262,0.2262,0.00388333333333333,48,0.1644,0.788998656666294,0.871005005775895,0.975916230366492
"41_147A_5","147A","OC","41","CC","41_147A",5,5.41895,0.2215,0.2215,0.00381875,48,0.1561,0.829397269499204,0.927943024717218,1.07444314185229
"126B_147A_1","147A","OC","126B","OC","126B_147A",1,4.9983,0.1733,0.1733,0.00299583333333333,24,0.0394,0.71464009207695,0.714050267820354,0.750913838120104
"126B_147A_2","147A","OC","126B","OC","126B_147A",2,4.4428,0.1783,0.1783,0.00326666666666667,48,0.1371,0.747996498080679,0.738914214670535,0.73373888628919
"126B_147A_3","147A","OC","126B","OC","126B_147A",3,4.933,0.1883,0.1883,0.003225,48,0.1463,0.860915016710442,0.797881355932204,0.738902147971361
"126B_147A_4","147A","OC","126B","OC","126B_147A",4,4.96975,0.1885,0.1885,0.0031875,48,0.144,0.846181350723206,0.785416666666667,0.727878211227402
"126B_147A_5","147A","OC","126B","OC","126B_147A",5,4.76855,0.1853,0.1853,0.00324166666666667,48,0.1434,0.810653905326952,0.781856540084388,0.753146176185866
"53_147A_1","147A","OC","53","CC","53_147A",1,5.95795,0.2299,0.2299,0.00394375,48,0.1797,0.835570234488949,0.933035714285714,0.940854870775348
"53_147A_2","147A","OC","53","CC","53_147A",2,5.8428,0.2282,0.2282,0.00392083333333333,48,0.1732,0.827410412728085,0.936013125512715,0.961676034747062
"53_147A_3","147A","OC","53","CC","53_147A",3,5.7238,0.2311,0.2311,0.00402916666666667,48,0.1725,0.818007074207725,0.969379194630872,0.999483204134367
"53_147A_4","147A","OC","53","CC","53_147A",4,6.0238,0.2413,0.2413,0.00416875,48,0.1758,0.79818732318782,0.932740626207963,0.951045627376426
"53_147A_5","147A","OC","53","CC","53_147A",5,6.43005,0.2411,0.2411,0.00397291666666667,48,0.1825,0.862509305772597,0.939228671601091,0.909394372913686
"135B_147A_1","147A","OC","135B","OE","135B_147A",1,6.92854999999999,0.248,0.248,0.003975,24,0.0585,1.19714732486112,1.03290295710121,0.911610129001433
"135B_147A_2","147A","OC","135B","OE","135B_147A",2,6.76085,0.2504,0.2504,0.00412916666666667,48,0.1917,1.12940596705757,1.02833675564682,0.944709246901811
"135B_147A_3","147A","OC","135B","OE","135B_147A",3,6.5449,0.2372,0.2372,0.00393541666666667,24,0.0493,1.08524573854215,0.96149169031212,0.887271019257867
"135B_147A_4","147A","OC","135B","OE","135B_147A",4,7.1023,0.2533,0.2533,0.00414375,24,0.0587,1.08577106822091,0.978370027037466,0.91448275862069
"135B_147A_5","147A","OC","135B","OE","135B_147A",5,6.89355,0.2451,0.2451,0.0040625,24,0.0565,1.1858034884921,1.01532725766363,0.920245398773006
"57_147A_1","147A","OC","57","CC","57_147A",1,4.5859,0.1749,0.1749,0.00263333333333333,48,0.1195,0.80443801254221,0.759114583333333,0.660397074190178
"57_147A_2","147A","OC","57","CC","57_147A",2,3.893,0.1682,0.1682,0.00280208333333333,48,0.1071,1.01635620765726,0.940715883668904,0.834885164494103
"57_147A_3","147A","OC","57","CC","57_147A",3,5.3749,0.2077,0.2077,0.00348125,48,0.1542,0.948665225257027,0.942377495462795,0.926788685524127
"57_147A_4","147A","OC","57","CC","57_147A",4,5.4689,0.2141,0.2141,0.00346666666666667,48,0.1479,0.923340565090031,0.916131792896876,0.848979591836735
"57_147A_5","147A","OC","57","CC","57_147A",5,5.43435,0.2135,0.2135,0.00351458333333333,48,0.1483,0.789899415680689,0.841876971608833,0.847738693467337
"135A_147A_1","147A","OC","135A","OE","135A_147A",1,6.4505,0.2284,0.2284,0.00370833333333333,24,0.0586,1.09652030530199,1.16293279022403,1.11458985597996
"135A_147A_2","147A","OC","135A","OE","135A_147A",2,6.6115,0.2368,0.2368,0.00384375,24,0.0597,1.14719253192671,1.18518518518519,1.22347480106101
"135A_147A_3","147A","OC","135A","OE","135A_147A",3,6.37995,0.2297,0.2297,0.00372083333333333,24,0.0557,1.12302303271402,1.18646694214876,1.210027100271
"135A_147A_4","147A","OC","135A","OE","135A_147A",4,6.10585,0.2255,0.2255,0.0036125,48,0.1724,1.14099245984658,1.07432110528823,1.0093131548312
"135A_147A_5","147A","OC","135A","OE","135A_147A",5,6.3666,0.2261,0.2261,0.00363958333333333,24,0.0591,1.09341966286828,1.08911368015414,1.15772034459907
"77_147A_1","147A","OC","77","CC","77_147A",1,6.3125,0.239,0.239,0.0039875,48,0.1806,0.85146418117809,0.904617713853142,0.925084581923635
"77_147A_2","147A","OC","77","CC","77_147A",2,6.26935,0.2394,0.2394,0.00399583333333333,48,0.1789,0.831467752417077,0.905103969754253,0.914639961850262
