"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"145B_100_TY_5","100_TY",NA,"145B","OA","145B_100_TY",5,10.4809,0.3705,0.3705,0.00628333333333333,24,0.0788,1.75137022926275,1.84053651266766,1.8345498783455
"157B_100_TY_1","100_TY",NA,"157B","OC","157B_100_TY",1,7.6933,0.3145,0.3145,0.005575,48,0.2127,1.30959818198841,1.47721935180836,1.61399276236429
"157B_100_TY_2","100_TY",NA,"157B","OC","157B_100_TY",2,7.6503,0.3069,0.3069,0.00535625,48,0.2118,1.24242596487239,1.3956343792633,1.45583238958097
"157B_100_TY_3","100_TY",NA,"157B","OC","157B_100_TY",3,7.5651,0.3023,0.3023,0.00525,48,0.2005,1.24454644161484,1.39824236817761,1.49377593360996
"157B_100_TY_4","100_TY",NA,"157B","OC","157B_100_TY",4,7.74055,0.304,0.304,0.00523125,48,0.2172,1.24405139785119,1.43396226415094,1.47359154929577
"157B_100_TY_5","100_TY",NA,"157B","OC","157B_100_TY",5,8.27635,0.3089,0.3089,0.0050375,48,0.2288,1.44406155671488,1.4872412132884,1.48983364140481
"154C_100_TY_1","100_TY",NA,"154C","OA","154C_100_TY",1,6.8186,0.2952,0.2952,0.00553958333333333,48,0.2111,1.15634168263605,1.11691259931896,1.01566080977846
"154C_100_TY_2","100_TY",NA,"154C","OA","154C_100_TY",2,6.6748,0.2939,0.2939,0.00553125,48,0.2078,1.1779301338557,1.10322822822823,0.988826815642458
"154C_100_TY_3","100_TY",NA,"154C","OA","154C_100_TY",3,6.46495,0.2875,0.2875,0.00543125,48,0.2019,1.31573912954992,1.22028862478778,1.06408163265306
"154C_100_TY_4","100_TY",NA,"154C","OA","154C_100_TY",4,6.73309999999999,0.2877,0.2877,0.00538125,48,0.2114,1.15538128903837,1.12207488299532,1.02094861660079
"154C_100_TY_5","100_TY",NA,"154C","OA","154C_100_TY",5,6.58015,0.2912,0.2912,0.00548541666666667,48,0.2078,1.22476082343744,1.14555468135327,1.02212732919255
