time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind,comp_ind_50TY
0,50_TY,,158,OC,0.1433,0,,
0,50_TY,,152A,OA,0.1469,0,,
0,50_TY,,152A,OA,0.1453,0,,
0,50_TY,,152A,OA,0.1446,0,,
0,50_TY,,152A,OA,0.1376,0,,
0,50_TY,,152A,OA,0.143,0,,
0,50_TY,,170C,OC,0.1409,0,,
0,50_TY,,170C,OC,0.1442,0,,
0,50_TY,,170C,OC,0.143,0,,
0,50_TY,,170C,OC,0.1442,0,,
0,50_TY,,170C,OC,0.1438,0,,
0,50_TY,,145B,OA,0.1422,0,,
0,50_TY,,145B,OA,0.1446,0,,
0,50_TY,,145B,OA,0.1411,0,,
0,50_TY,,145B,OA,0.1384,0,,
0,50_TY,,145B,OA,0.1368,0,,
0,50_TY,,157B,OC,0.1509,0,,
0,50_TY,,157B,OC,0.1379,0,,
0,50_TY,,157B,OC,0.1366,0,,
0,50_TY,,157B,OC,0.1388,0,,
0,50_TY,,157B,OC,0.1421,0,,
0,50_TY,,154C,OA,0.1409,0,,
0,50_TY,,154C,OA,0.138,0,,
0,50_TY,,154C,OA,0.1312,0,,
0,50_TY,,154C,OA,0.1363,0,,
0,50_TY,,154C,OA,0.1293,0,,
0,50_TY,,165A,OC,0.1297,0,,
0,50_TY,,165A,OC,0.1323,0,,
0,50_TY,,165A,OC,0.1299,0,,
0,50_TY,,165A,OC,0.1366,0,,
0,50_TY,,165A,OC,0.1366,0,,
0,50_TY,,144A,OA,0.1434,0,,
0,50_TY,,144A,OA,0.1436,0,,
0,50_TY,,144A,OA,0.1405,0,,
0,50_TY,,144A,OA,0.1384,0,,
0,50_TY,,144A,OA,0.1344,0,,
0,50_TY,,122A,OC,0.1343,0,,
0,50_TY,,122A,OC,0.1357,0,,
0,50_TY,,122A,OC,0.1381,0,,
0,50_TY,,122A,OC,0.1428,0,,
0,50_TY,,122A,OC,0.1404,0,,
0,50_TY,,149A,OE,0.1255,0,,
0,50_TY,,149A,OE,0.1245,0,,
0,50_TY,,149A,OE,0.1248,0,,
0,50_TY,,149A,OE,0.1288,0,,
0,50_TY,,149A,OE,0.1279,0,,
0,50_TY,,41,CC,0.1282,0,,
0,50_TY,,41,CC,0.1305,0,,
0,50_TY,,41,CC,0.1292,0,,
0,50_TY,,41,CC,0.1261,0,,
0,50_TY,,41,CC,0.1262,0,,
0,50_TY,,126B,OC,0.1276,0,,
0,50_TY,,126B,OC,0.1289,0,,
0,50_TY,,126B,OC,0.1273,0,,
