time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind
0,50% TY,50% TY,152B,OA,0.1416,0,
0,50% TY,50% TY,152B,OA,0.1352,0,
0,50% TY,50% TY,147A,OC,0.1391,0,
0,50% TY,50% TY,147A,OC,0.1368,0,
0,50% TY,50% TY,147A,OC,0.1358,0,
0,50% TY,50% TY,147A,OC,0.1429,0,
0,50% TY,50% TY,147A,OC,0.1409,0,
0,50% TY,50% TY,137B,OA,0.1439,0,
0,50% TY,50% TY,137B,OA,0.1426,0,
0,50% TY,50% TY,137B,OA,0.1419,0,
0,50% TY,50% TY,137B,OA,0.1402,0,
0,50% TY,50% TY,137B,OA,0.1381,0,
0,50% TY,50% TY,158,OC,0.1366,0,
0,50% TY,50% TY,158,OC,0.137,0,
0,50% TY,50% TY,158,OC,0.1376,0,
0,50% TY,50% TY,158,OC,0.1424,0,
0,50% TY,50% TY,158,OC,0.1433,0,
0,50% TY,50% TY,152A,OA,0.1469,0,
0,50% TY,50% TY,152A,OA,0.1453,0,
0,50% TY,50% TY,152A,OA,0.1446,0,
0,50% TY,50% TY,152A,OA,0.1376,0,
0,50% TY,50% TY,152A,OA,0.143,0,
0,50% TY,50% TY,170C,OC,0.1409,0,
0,50% TY,50% TY,170C,OC,0.1442,0,
0,50% TY,50% TY,170C,OC,0.143,0,
0,50% TY,50% TY,170C,OC,0.1442,0,
0,50% TY,50% TY,170C,OC,0.1438,0,
0,50% TY,50% TY,145B,OA,0.1422,0,
0,50% TY,50% TY,145B,OA,0.1446,0,
0,50% TY,50% TY,145B,OA,0.1411,0,
0,50% TY,50% TY,145B,OA,0.1384,0,
0,50% TY,50% TY,145B,OA,0.1368,0,
0,50% TY,50% TY,157B,OC,0.1509,0,
0,50% TY,50% TY,157B,OC,0.1379,0,
0,50% TY,50% TY,157B,OC,0.1366,0,
0,50% TY,50% TY,157B,OC,0.1388,0,
0,50% TY,50% TY,157B,OC,0.1421,0,
0,50% TY,50% TY,154C,OA,0.1409,0,
0,50% TY,50% TY,154C,OA,0.138,0,
